lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,-0.1509371437091024,0.09845520592808685,-0.026240968890507782,False,0.062348087409297315,2020-03-16,0
pl,0.02126431134605712,0.18658186184601483,0.10392308659603597,True,0.041329387624989423,2020-03-24,0
ru,0.07596991441882744,0.16184337300767948,0.11890664371325346,True,0.02146836464721301,2020-03-30,0
uk,0.14610933408069168,0.343464622250784,0.24478697816573783,True,0.04933882204252307,2020-03-25,0
cs,-0.12634927290462472,0.1448713183651259,0.009261022730250599,False,0.06780514781743766,2020-03-17,1
pl,0.06791106731619467,0.22855141925013317,0.14823124328316392,True,0.040160087983484624,2020-03-25,1
ru,0.08837246285713538,0.169046478159649,0.12870947050839218,True,0.020168503825628403,2020-03-31,1
uk,0.15027024286337287,0.35836466825175683,0.25431745555756485,True,0.052023606347096,2020-03-26,1
cs,-0.1172176463009802,0.1580582368640147,0.020420295281517252,False,0.06881897079124873,2020-03-18,2
pl,0.07675474484931721,0.23206631606779304,0.15441053045855513,True,0.03882789280461896,2020-03-26,2
ru,0.08545095734779046,0.1742935249380534,0.12987224114292192,True,0.02221064189756573,2020-04-01,2
uk,0.1366485463503924,0.35878605631303184,0.24771730133171213,True,0.05553437749065987,2020-03-27,2
cs,-0.03453488517198246,0.21049302700000821,0.08797907091401289,False,0.06125697804299767,2020-03-19,3
pl,0.06741551778400107,0.22477609071726234,0.1460958042506317,True,0.03934014323331532,2020-03-27,3
ru,0.09695354771715528,0.18302511007535385,0.13998932889625457,True,0.02151789058954964,2020-04-02,3
uk,0.14758958931486027,0.37449638251010836,0.2610429859124843,True,0.056726698298812016,2020-03-28,3
cs,0.020390208379918354,0.24610574865725254,0.13324797851858544,True,0.056428885069333544,2020-03-20,4
pl,0.051675014163933886,0.2108842654183392,0.13127963979113655,True,0.03980231281360133,2020-03-28,4
ru,0.07132254262973568,0.16178927181635627,0.11655590722304597,True,0.022616682296655144,2020-04-03,4
uk,0.1810108765912533,0.417937068915831,0.29947397275354215,True,0.05923154808114441,2020-03-29,4
cs,0.00139061416377749,0.22552871421323128,0.1134596641885044,True,0.05603452501236345,2020-03-21,5
pl,0.04860408790349041,0.20926437358684952,0.12893423074516996,True,0.040165071420839776,2020-03-29,5
ru,0.059335850209785934,0.14904811042014876,0.10419198031496735,True,0.022428065052590707,2020-04-04,5
uk,0.1934584328977193,0.4118336491470614,0.30264604102239034,True,0.054593804062335514,2020-03-30,5
cs,-0.007938647859677586,0.23912130723853176,0.11559132968942709,False,0.06176498877455234,2020-03-22,6
pl,0.015460959625020892,0.19712686157378148,0.10629391059940119,True,0.04541647548719015,2020-03-30,6
ru,0.05396984635445183,0.14127419339179687,0.09762201987312435,True,0.021826086759336262,2020-04-05,6
uk,0.18553473052689778,0.4176383536733907,0.30158654210014424,True,0.05802590578662322,2020-03-31,6
cs,-0.00399003873239584,0.2515510705370509,0.12378051590232753,False,0.06388527731736168,2020-03-23,7
pl,-0.008870579809894794,0.16553705586542666,0.07833323802776593,False,0.04360190891883036,2020-03-31,7
ru,0.05574565714761373,0.1408965820421478,0.09832111959488077,True,0.02128773122363352,2020-04-06,7
uk,0.1578447857929091,0.3935728224954922,0.2757088041442006,True,0.05893200917564577,2020-04-01,7
cs,-0.02300600360806268,0.21952799353398142,0.09826099496295937,False,0.060633499285511025,2020-03-24,8
pl,-0.02544913094638411,0.13392068214628872,0.054235775599952296,False,0.0398424532731682,2020-04-01,8
ru,0.054418933119601554,0.14051758433140205,0.0974682587255018,True,0.021524662802950123,2020-04-07,8
uk,0.13853700801384114,0.37948384132800317,0.25901042467092217,True,0.060236708328540514,2020-04-02,8
cs,-0.004789610070295824,0.24314078365684072,0.11917558679327245,False,0.061982598431784136,2020-03-25,9
pl,-0.00716856192903044,0.15288695065784624,0.07285919436440791,False,0.040013878146719174,2020-04-02,9
ru,0.06826525943923388,0.1517618245725041,0.11001354200586899,True,0.020874141283317556,2020-04-08,9
uk,0.16999259700883357,0.405983425232146,0.2879880111204898,True,0.058997707055828096,2020-04-03,9
cs,-0.01938623576990557,0.2211380758940769,0.10087592006208568,False,0.060131077915995625,2020-03-26,10
pl,0.0008057573687966363,0.1630071584097631,0.08190645788927986,True,0.04055035026024161,2020-04-03,10
ru,0.06616037340673764,0.1597694710889107,0.11296492224782417,True,0.023402274420543264,2020-04-09,10
uk,0.20092313158951747,0.42145530528499275,0.3111892184372551,True,0.05513304342386883,2020-04-04,10
cs,-0.04954372262078409,0.1836499517132132,0.06705311454621454,False,0.058298418583499316,2020-03-27,11
pl,-0.006240647682828546,0.15646505592010646,0.07511220411863895,False,0.04067642590073375,2020-04-04,11
ru,0.09249178358334355,0.17995531988363378,0.13622355173348866,True,0.021865884075072554,2020-04-10,11
uk,0.21910650799881293,0.4215976419311508,0.32035207496498186,True,0.050622783483084466,2020-04-05,11
cs,-0.04302055440580854,0.19313531240732773,0.0750573790007596,False,0.05903896670328407,2020-03-28,12
pl,-0.0030425901032544445,0.17137830213213953,0.08416785601444254,False,0.043605223058848494,2020-04-05,12
ru,0.10009164785017183,0.19876900449730656,0.1494303261737392,True,0.024669339161783682,2020-04-11,12
uk,0.21561916008401277,0.41227425167539583,0.3139467058797043,True,0.049163772897845764,2020-04-06,12
cs,-0.04149565992886631,0.1822863564387414,0.07039534825493754,False,0.055945504091901924,2020-03-29,13
pl,0.007634103973633413,0.1565002421701316,0.0820671730718825,True,0.03721653454912454,2020-04-06,13
ru,0.11753954627600767,0.21655863149463345,0.16704908888532055,True,0.02475477130465644,2020-04-12,13
uk,0.2079519536775773,0.3999807429745999,0.3039663483260886,True,0.04800719732425565,2020-04-07,13
cs,-0.0680860285573689,0.1436839884185911,0.0377989799306111,False,0.052942504243989996,2020-03-30,14
pl,0.016636030669001836,0.16154413897425696,0.08909008482162939,True,0.03622702707631378,2020-04-07,14
ru,0.12940925465194392,0.23244621375477176,0.18092773420335784,True,0.025759239775706957,2020-04-13,14
uk,0.22928225221423432,0.4026385699815756,0.31596041109790496,True,0.04333907944183532,2020-04-08,14
cs,-0.07380413288303922,0.14030137986863433,0.03324862349279756,False,0.05352637818791839,2020-03-31,15
pl,0.013089544713243667,0.17325685904275198,0.09317320187799782,True,0.04004182858237708,2020-04-08,15
ru,0.15784436282068803,0.24806991673838974,0.2029571397795389,True,0.022556388479425427,2020-04-14,15
uk,0.2720616814735495,0.4317669005981062,0.35191429103582783,True,0.03992630478113916,2020-04-09,15
cs,-0.09852392119346508,0.09894475794148715,0.00021041837401103436,False,0.049367169783738056,2020-04-01,16
pl,0.009284127218098667,0.17231797448261343,0.09080105085035606,True,0.040758461816128695,2020-04-09,16
ru,0.16331859322054615,0.253493284883127,0.20840593905183658,True,0.022543672915645213,2020-04-15,16
uk,0.2789052024902049,0.43817733002107995,0.3585412662556424,True,0.03981803188271876,2020-04-10,16
