lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,0.010751987452753714,0.16901326008490317,0.08988262376882844,True,0.03956531815803736,2020-03-16,0
pl,0.05296937168566934,0.19802442452873958,0.12549689810720446,True,0.03626376321076756,2020-03-24,0
ru,0.031108443115852195,0.11154065684249537,0.07132454997917378,True,0.020108053431660795,2020-03-30,0
uk,0.024177181278511067,0.2211155602964971,0.12264637078750408,True,0.049234594754496507,2020-03-25,0
cs,0.01844881441540501,0.20098115519330656,0.10971498480435578,True,0.045633085194475384,2020-03-17,1
pl,0.06456901056550352,0.20513268066716883,0.13485084561633617,True,0.03514091752541633,2020-03-25,1
ru,0.028175378295984856,0.10611493941597952,0.06714515885598218,True,0.019484890279998664,2020-03-31,1
uk,0.0570450490721504,0.2438814817324178,0.1504632654022841,True,0.046709108165066855,2020-03-26,1
cs,0.013284125721162096,0.1936420192103801,0.10346307246577109,True,0.0450894733723045,2020-03-18,2
pl,0.07029660349403771,0.21258932524683394,0.14144296437043583,True,0.035573180438199056,2020-03-26,2
ru,0.023430698478602588,0.10974396967187743,0.06658733407524,True,0.02157831779831871,2020-04-01,2
uk,0.04650154007687997,0.23510256325022688,0.14080205166355342,True,0.047150255793336725,2020-03-27,2
cs,0.030834167817894012,0.19996030049635033,0.11539723415712216,True,0.042281533169614076,2020-03-19,3
pl,0.06034976564961585,0.20501904289914596,0.1326844042743809,True,0.03616731931238253,2020-03-27,3
ru,0.019504261938289753,0.1176750192594832,0.06858964059888648,True,0.02454268933029836,2020-04-02,3
uk,0.04044952495966171,0.2267365587067377,0.1335930418331997,True,0.046571758436768994,2020-03-28,3
cs,0.048115994474041496,0.2142316322319239,0.1311738133529827,True,0.0415289094394706,2020-03-20,4
pl,0.06904658326843113,0.20467047625727727,0.1368585297628542,True,0.033905973247211535,2020-03-28,4
ru,0.03399405291335438,0.13175515662415005,0.08287460476875222,True,0.02444027592769892,2020-04-03,4
uk,0.06633109968999866,0.2445345621153337,0.15543283090266619,True,0.04455086560633376,2020-03-29,4
cs,0.041398566104833945,0.19877340281276656,0.12008598445880025,True,0.039343709176983155,2020-03-21,5
pl,0.09068708682188928,0.21459601509730844,0.15264155095959886,True,0.030977232068854794,2020-03-29,5
ru,0.038673989250907204,0.1322752272106424,0.0854746082307748,True,0.023400309489933796,2020-04-04,5
uk,0.10278755661385279,0.27490613423557136,0.18884684542471208,True,0.04302964440542965,2020-03-30,5
cs,0.0722985935129893,0.23487068361829266,0.15358463856564097,True,0.04064302252632584,2020-03-22,6
pl,0.08841793303331444,0.21114539956518322,0.14978166629924883,True,0.030681866632967195,2020-03-30,6
ru,0.02068000257687496,0.11685176058454161,0.06876588158070829,True,0.024042939501916664,2020-04-05,6
uk,0.10545057661740913,0.30503206017322887,0.205241318395319,True,0.04989537088895494,2020-03-31,6
cs,0.08283233072605506,0.2376181358073805,0.16022523326671778,True,0.03869645127033136,2020-03-23,7
pl,0.07762002481000058,0.18599404549586146,0.13180703515293102,True,0.027093505171465224,2020-03-31,7
ru,0.02646716298925946,0.11821963487222284,0.07234339893074115,True,0.022938117970740846,2020-04-06,7
uk,0.10157880362315622,0.31518633428739284,0.20838256895527452,True,0.05340188266605915,2020-04-01,7
cs,0.0723549600415851,0.2228418566786708,0.14759840836012794,True,0.03762172415927142,2020-03-24,8
pl,0.08212710172645968,0.19204073565641408,0.13708391869143688,True,0.0274784084824886,2020-04-01,8
ru,0.0374603658258721,0.14784202856241757,0.09265119719414483,True,0.027595415684136364,2020-04-07,8
uk,0.11104413512161097,0.324620163097244,0.2178321491094275,True,0.05339400699390826,2020-04-02,8
cs,0.08749268297139481,0.24830327185457798,0.1678979774129864,True,0.04020264722079579,2020-03-25,9
pl,0.07771983669393197,0.18635411766572957,0.13203697717983076,True,0.027158570242949397,2020-04-02,9
ru,0.03264775998079126,0.14074276560477353,0.08669526279278239,True,0.027023751405995566,2020-04-08,9
