lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,0.027469628009724453,0.24258440812159193,0.1350270180656582,True,0.05377869502796687,2020-03-16,0
pl,0.012032966889653371,0.17489382717328084,0.09346339703146711,True,0.04071521507090687,2020-03-24,0
ru,0.03734570877253093,0.11538167506168076,0.07636369191710585,True,0.019508991572287457,2020-03-30,0
uk,0.020148677501786852,0.23259465179345673,0.12637166464762178,True,0.053111493572917466,2020-03-25,0
cs,0.04797198512938797,0.2811994119168999,0.16458569852314392,True,0.058306856696877976,2020-03-17,1
pl,0.030194208184455687,0.18947281940686417,0.10983351379565992,True,0.03981965280560212,2020-03-25,1
ru,0.03891304209415178,0.13151555111376492,0.08521429660395835,True,0.023150627254903286,2020-03-31,1
uk,0.022961894803565308,0.23800569903760166,0.13048379692058348,True,0.05376095105850909,2020-03-26,1
cs,0.07594150552625874,0.32546856041191874,0.20070503296908873,True,0.062381763721415,2020-03-18,2
pl,0.005289251736459111,0.18855466885547553,0.09692196029596732,True,0.045816354279754105,2020-03-26,2
ru,0.04546613287831872,0.13088306530248645,0.08817459909040258,True,0.02135423310604193,2020-04-01,2
uk,0.03646349502720142,0.24455812248170888,0.14051080875445515,True,0.052023656863626866,2020-03-27,2
cs,0.13131055527920749,0.3663496462639459,0.2488301007715767,True,0.05875977274618461,2020-03-19,3
pl,-0.021801311007857246,0.17071109899282266,0.0744548939924827,False,0.048128102500169974,2020-03-27,3
ru,0.044914377669625666,0.13227263939001152,0.0885935085298186,True,0.021839565430096464,2020-04-02,3
uk,0.05177280450913875,0.26361439729119346,0.1576936009001661,True,0.052960398195513674,2020-03-28,3
cs,0.16077120089006852,0.37406939338008843,0.2674202971350785,True,0.053324548122504985,2020-03-20,4
pl,-0.0016279925634454379,0.17995177919974387,0.08916189331814922,False,0.04539494294079733,2020-03-28,4
ru,0.050923371845049824,0.14648465180588408,0.09870401182546695,True,0.023890319990208565,2020-04-03,4
uk,0.07532621404165823,0.2837461737368569,0.17953619388925757,True,0.052104989923799666,2020-03-29,4
cs,0.171724010359237,0.3788116834391022,0.2752678468991696,True,0.05177191826996629,2020-03-21,5
pl,-0.019109584274988503,0.16566927846197804,0.07327984709349478,False,0.04619471568424164,2020-03-29,5
ru,0.06175938311742424,0.16306768060202315,0.11241353185972369,True,0.025327074371149727,2020-04-04,5
uk,0.07774080671762253,0.2732333270046411,0.1754870668611318,True,0.04887313007175464,2020-03-30,5
cs,0.1542623266868819,0.3644029474278141,0.259332637057348,True,0.05253515518523305,2020-03-22,6
pl,-0.01540695923468792,0.15043485791507827,0.06751394934019517,False,0.041460454287441544,2020-03-30,6
ru,0.06811485374562591,0.17179358667143935,0.11995422020853264,True,0.025919683231453362,2020-04-05,6
uk,0.10736911295508307,0.28049449510292895,0.193931804029006,True,0.04328134553696147,2020-03-31,6
cs,0.138768217808298,0.35762195888091003,0.24819508834460402,True,0.054713435268153,2020-03-23,7
pl,-0.026354561050640407,0.1277999034230535,0.05072267118620655,False,0.03853861611842348,2020-03-31,7
ru,0.0745041326196107,0.18417242659783378,0.12933827960872224,True,0.027417073494555768,2020-04-06,7
uk,0.11743306163624126,0.3133595229192253,0.21539629227773327,True,0.048981615320746005,2020-04-01,7
cs,0.1426143692207324,0.3410917360222792,0.2418530526215058,True,0.049619341700386704,2020-03-24,8
pl,-0.03759183302849331,0.11153322380246519,0.03697069538698594,False,0.037281264207739626,2020-04-01,8
ru,0.06634628051407954,0.17197847217215512,0.11916237634311733,True,0.0264080479145189,2020-04-07,8
uk,0.1063270296058857,0.3030742838316146,0.20470065671875015,True,0.04918681355643222,2020-04-02,8
cs,0.1398900999166593,0.3209452559390426,0.23041767792785095,True,0.04526378900559582,2020-03-25,9
pl,-0.009817081866057703,0.12239079661667443,0.05628685737530836,False,0.03305196962068303,2020-04-02,9
ru,0.0800518456241929,0.18843351784033832,0.1342426817322656,True,0.027095418054036355,2020-04-08,9
uk,0.1153824934036842,0.30829276786062576,0.211837630632155,True,0.0482275686142354,2020-04-03,9
cs,0.1579376166536367,0.35235128815439765,0.2551444524040172,True,0.04860341787519023,2020-03-26,10
pl,0.013516225859512732,0.14930812846379116,0.08141217716165194,True,0.033947975651069606,2020-04-03,10
ru,0.08310237505180171,0.19376713430174056,0.13843475467677113,True,0.027666189812484716,2020-04-09,10
uk,0.09723714616542085,0.2770349599570617,0.18713605306124126,True,0.0449494534479102,2020-04-04,10
cs,0.1753133203564814,0.3704653465968959,0.27288933347668864,True,0.04878800656010362,2020-03-27,11
pl,-0.0195588092730601,0.13087197692186048,0.055656583824400196,False,0.03760769654873015,2020-04-04,11
ru,0.08645486863547397,0.18644955713336714,0.13645221288442055,True,0.024998672124473292,2020-04-10,11
