lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,-0.7896202019173116,0.034055137696045845,-0.3777825321106329,False,0.20591883490333937,2020-03-16,0
pl,-0.5814748473869952,0.13961151593751953,-0.22093166572473782,False,0.18027159083112868,2020-03-24,0
ru,-0.1495253235229424,0.5417759758868759,0.1961253261819667,False,0.17282532485245455,2020-03-30,0
uk,-0.3826003251438754,0.3946492429024568,0.006024458879290706,False,0.19431239201158304,2020-03-25,0
cs,-0.7701844836772545,0.21266147104454464,-0.2787615063163549,False,0.24571148868044976,2020-03-17,1
pl,-0.5219419925159219,0.2781207126550024,-0.12191063993045975,False,0.20001567629273106,2020-03-25,1
ru,-0.16917702768059995,0.5121746744108319,0.17149882336511596,False,0.17033792552285795,2020-03-31,1
uk,-0.30826132888560026,0.4604287113601427,0.07608369123727121,False,0.19217251006143574,2020-03-26,1
cs,-0.8758302955496463,0.12026523132838063,-0.37778253211063284,False,0.24902388171950673,2020-03-18,2
pl,-0.4549600772913298,0.35708897564926423,-0.04893555082103279,False,0.2030122632351485,2020-03-26,2
ru,-0.1382039962711345,0.49336704419283745,0.17758152396085147,False,0.15789276011599299,2020-04-01,2
uk,-0.20070185865438578,0.5318353794854087,0.16556676041551144,False,0.1831343095349486,2020-03-27,2
cs,-0.7701844836772545,0.21266147104454464,-0.2787615063163549,False,0.24571148868044976,2020-03-19,3
pl,-0.5626127513836884,0.24581638241334092,-0.15839818448517373,False,0.20210728344925732,2020-03-27,3
ru,-0.062000850232257765,0.5660596888303506,0.25202941929904643,False,0.1570151347656521,2020-04-02,3
uk,-0.2006548602826504,0.5526715968533988,0.17600836828537425,False,0.18833161428401232,2020-03-28,3
cs,-0.8274719789017346,0.17092794047474696,-0.32827201921349386,False,0.2495999798441204,2020-03-20,4
pl,-0.46643740559264796,0.3645092361617687,-0.05096408471543962,False,0.20773666043860417,2020-03-28,4
ru,-0.15771204916922843,0.36407147462028944,0.1031797127255305,False,0.13044588094737947,2020-04-03,4
uk,0.017776738949299542,0.70427816411371,0.3610274515315048,True,0.17162535629110262,2020-03-29,4
cs,-0.8274719789017347,0.1709279404747469,-0.3282720192134939,False,0.2495999798441204,2020-03-21,5
pl,-0.5522963172328885,0.3437407627907581,-0.10427777722106524,False,0.22400927000591167,2020-03-29,5
ru,-0.14385876506067324,0.38504145315701227,0.12059134404816951,False,0.13222505455442138,2020-04-04,5
uk,0.10712841289551867,0.7620149783362288,0.4345716956158737,True,0.16372164136017753,2020-03-30,5
cs,-0.6735411323151057,0.33088631922186407,-0.1713274065466208,False,0.25110686288424244,2020-03-22,6
pl,-0.5199869735676699,0.3942626327331025,-0.06286217041728365,False,0.22856240157519309,2020-03-30,6
ru,-0.1146218421863365,0.43505379566850777,0.16021597674108565,False,0.13741890946371108,2020-04-05,6
uk,0.058111266637487835,0.7780161644566319,0.4180637155470599,True,0.17997622445478603,2020-03-31,6
cs,-0.6735411323151057,0.3308863192218639,-0.17132740654662088,False,0.2511068628842424,2020-03-23,7
pl,-0.7000683078329479,0.22857709147689054,-0.2357456081780287,False,0.23216134982745962,2020-03-31,7
ru,-0.12355876991743892,0.4028932844779281,0.1396672572802446,False,0.13161301359884175,2020-04-06,7
uk,-0.1692243985540552,0.6092677264710631,0.22002166395850392,False,0.19462303125627956,2020-04-01,7
cs,-0.885256070905267,0.04749612884063509,-0.41887997103231595,False,0.23318804993647552,2020-03-24,8
pl,-0.6702713256080461,0.22888311372565462,-0.22069410594119576,False,0.2247886098334252,2020-04-01,8
ru,-0.11147591835882364,0.4128319586089203,0.15067802012504833,False,0.131076969241936,2020-04-07,8
uk,-0.24121979518117087,0.51912313269261,0.13895166875571957,False,0.19008573196844522,2020-04-02,8
cs,-0.826861736027029,0.08812281975667535,-0.3693694581351768,False,0.22874613894592608,2020-03-25,9
pl,-0.668267414132387,0.2042213407961882,-0.23202303666809942,False,0.2181221887321438,2020-04-02,9
ru,-0.12391765905194613,0.44498594829831545,0.16053414462318466,False,0.1422259018375654,2020-04-08,9
uk,-0.2577148277333192,0.4945207263230761,0.11840294929487843,False,0.18805888851409883,2020-04-03,9
cs,-0.8801835895477618,0.0424236474831301,-0.41887997103231583,False,0.23065180925772297,2020-03-26,10
pl,-0.7276652223183404,0.16282347747378562,-0.2824208724222774,False,0.22262217494803152,2020-04-03,10
ru,-0.057349406766549926,0.5214222617742401,0.23203642750384507,False,0.1446929171351975,2020-04-09,10
uk,-0.18999599539521617,0.5518688564641007,0.18093643053444225,False,0.1854662129648292,2020-04-04,10
cs,-0.6617885411933045,0.23693885025669703,-0.21242484546830376,False,0.2246818478625004,2020-03-27,11
pl,-0.8088905970541646,0.014129150433308868,-0.39738072331042784,False,0.20575493687186835,2020-04-04,11
ru,0.06320121953394725,0.6377613607028196,0.35048129011838347,True,0.1436400352922181,2020-04-10,11
uk,-0.27758319430256245,0.45824015173380445,0.090328478715621,False,0.18395583650909172,2020-04-05,11
cs,-0.7423593179355336,0.14373886638114086,-0.29931022577719635,False,0.2215245460791686,2020-03-28,12
pl,-0.6723092579818107,0.1822172479607624,-0.24504600501052418,False,0.2136316264856433,2020-04-05,12
ru,0.014743008932416146,0.6033288462846134,0.3090359276085147,True,0.1471464593380493,2020-04-11,12
uk,-0.2543152274999872,0.5600391474103572,0.15286195995518498,False,0.2035885937275861,2020-04-06,12
