lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,0.017714187738974888,0.1628677586629561,0.0902909732009655,True,0.03628839273099531,2020-03-16,0
pl,0.061455380218847354,0.1710939326127401,0.11627465641579374,True,0.02740963809847319,2020-03-24,0
ru,0.05464682844077865,0.11197950599737808,0.08331316721907836,True,0.014333169389149854,2020-03-30,0
uk,0.07844197524159376,0.2264485830597533,0.15244527915067352,True,0.03700165195453988,2020-03-25,0
cs,0.030003661656917147,0.2013685894340282,0.11568612554547267,True,0.04284123194427776,2020-03-17,1
pl,0.07930687883103013,0.18586009053754157,0.13258348468428585,True,0.02663830292662786,2020-03-25,1
ru,0.05423644479411487,0.11425259968757684,0.08424452224084586,True,0.015004038723365493,2020-03-31,1
uk,0.10075172524828063,0.24233246363336353,0.17154209444082208,True,0.03539518459627072,2020-03-26,1
cs,0.03480317922875717,0.20707211660282152,0.12093764791578934,True,0.043067234343516086,2020-03-18,2
pl,0.07644337152413866,0.19146581172015292,0.1339545916221458,True,0.028755610049003566,2020-03-26,2
ru,0.05416611808627546,0.11854765102202124,0.08635688455414835,True,0.016095383233936444,2020-04-01,2
uk,0.09483858173823914,0.2378655150676858,0.16635204840296247,True,0.035756733332361665,2020-03-27,2
cs,0.0673694748400632,0.22560941035994472,0.14648944260000396,True,0.03955998387997038,2020-03-19,3
pl,0.06237566877089365,0.18179531653484252,0.12208549265286808,True,0.029854911940987217,2020-03-27,3
ru,0.05253121265378979,0.12249968084351243,0.08751544674865111,True,0.01749211704743066,2020-04-02,3
uk,0.09677179283062023,0.23637538665708321,0.16657358974385172,True,0.034900898456615745,2020-03-28,3
cs,0.09266919945527496,0.2392926792298229,0.16598093934254893,True,0.03665586994363698,2020-03-20,4
pl,0.0694628902448253,0.18808088347363747,0.12877188685923138,True,0.029654498307203042,2020-03-28,4
ru,0.061418462341314324,0.12979615412338968,0.095607308232352,True,0.01709442294551884,2020-04-03,4
uk,0.12031387438169962,0.2522742814283728,0.18629407790503622,True,0.0329901017616683,2020-03-29,4
cs,0.09283483176073579,0.22808741969139637,0.16046112572606608,True,0.033813146982665146,2020-03-21,5
pl,0.08059727831430244,0.1928260713711963,0.13671167484274938,True,0.028057198264223464,2020-03-29,5
ru,0.06561501784039045,0.13171233868312984,0.09866367826176015,True,0.016524330210684845,2020-04-04,5
uk,0.14202334490588775,0.26981839590306456,0.20592087040447615,True,0.03194876274929421,2020-03-30,5
cs,0.11210515764224697,0.24810480641522686,0.18010498202873693,True,0.033999912193244976,2020-03-22,6
pl,0.07802220920803055,0.18477348766762475,0.13139784843782765,True,0.026687819614898554,2020-03-30,6
ru,0.0544173075461315,0.1208030350586301,0.0876101713023808,True,0.01659643187812465,2020-04-05,6
uk,0.14366641246265693,0.28107622559495865,0.2123713190288078,True,0.034352453283075436,2020-03-31,6
cs,0.10991607467733044,0.24749107866027487,0.17870357666880266,True,0.034393750995736105,2020-03-23,7
pl,0.06861847235482549,0.1605537897595038,0.11458613105716464,True,0.02298382935116958,2020-03-31,7
ru,0.05952387417528551,0.125700611657195,0.09261224291624026,True,0.016544184370477374,2020-04-06,7
uk,0.13977304356880865,0.28754560272896096,0.2136593231488848,True,0.03694313979003807,2020-04-01,7
cs,0.10376118528489953,0.23449833303662515,0.16912975916076234,True,0.032684286937931406,2020-03-24,8
pl,0.06577637240909012,0.15719386294127008,0.1114851176751801,True,0.022854372633044993,2020-04-01,8
ru,0.06540437427367388,0.14057197274578256,0.10298817350972822,True,0.018791899618027172,2020-04-07,8
uk,0.14036351451730217,0.28793507374009225,0.2141492941286972,True,0.03689288980569752,2020-04-02,8
cs,0.1103281468264955,0.24992579356539613,0.1801269701959458,True,0.03489941168472516,2020-03-25,9
pl,0.07688849397226244,0.1575439357767126,0.11721621487448752,True,0.020163860451112545,2020-04-02,9
ru,0.06583208231689527,0.13891833360092112,0.1023752079589082,True,0.018271562821006462,2020-04-08,9
uk,0.15563098278668663,0.296199344948046,0.22591516386736632,True,0.03514209054033985,2020-04-03,9
cs,0.11485867516743982,0.24767369833842162,0.1812661867529307,True,0.03320375579274545,2020-03-26,10
pl,0.09382592990478629,0.1755015630387578,0.13466374647177204,True,0.020418908283492875,2020-04-03,10
ru,0.07726529152172373,0.1475540261072928,0.11240965881450826,True,0.01757218364639226,2020-04-09,10
uk,0.15589981050403973,0.29792980834797306,0.2269148094260064,True,0.03550749946098333,2020-04-04,10
cs,0.12461121256638953,0.25089304023265757,0.18775212639952354,True,0.03157045691656701,2020-03-27,11
pl,0.06397957687765127,0.1590432242895951,0.11151140058362319,True,0.023765911852985957,2020-04-04,11
ru,0.0825630519808994,0.151554306881435,0.11705867943116721,True,0.017247813725133905,2020-04-10,11
uk,0.15676518281234292,0.29976578487105016,0.22826548384169654,True,0.0357501505146768,2020-04-05,11
cs,0.12609701100211546,0.25062818672902665,0.18836259886557105,True,0.0311327939317278,2020-03-28,12
pl,0.04863312738184908,0.15683581327132537,0.10273447032658722,True,0.027050671472369073,2020-04-05,12
ru,0.09344290638590332,0.16466161437649202,0.12905226038119766,True,0.01780467699764717,2020-04-11,12
uk,0.1427246369607258,0.28347444773607444,0.21309954234840012,True,0.035187452693837155,2020-04-06,12
cs,0.11746220967657867,0.24217047548244836,0.1798163425795135,True,0.031177066451467426,2020-03-29,13
pl,-0.0011398192728047374,0.12967927891758227,0.06426972982238877,False,0.03270477454759675,2020-04-06,13
ru,0.11171271816158711,0.17546723828414912,0.14358997822286812,True,0.015938630030640506,2020-04-12,13
uk,0.1292472882200415,0.2652501826287108,0.19724873542437615,True,0.03400072360216732,2020-04-07,13
cs,0.10332419269340627,0.236732235412128,0.17002821405276713,True,0.03335201067968043,2020-03-30,14
pl,-0.0032304405030949696,0.1323220649333685,0.06454581221513678,False,0.033888126359115874,2020-04-07,14
ru,0.12228363587767235,0.1830798231003444,0.15268172948900838,True,0.01519904680566801,2020-04-13,14
uk,0.12112996518614323,0.25304572133780795,0.18708784326197558,True,0.032978939037916176,2020-04-08,14
cs,0.11234818444935812,0.24057443909315124,0.17646131177125468,True,0.03205656366094828,2020-03-31,15
pl,-0.010336834422261812,0.13653708215966337,0.06310012386870079,False,0.0367184791454813,2020-04-08,15
ru,0.12585817947449296,0.18015151305176313,0.15300484626312805,True,0.01357333339431755,2020-04-14,15
uk,0.12245034921453399,0.26094498966832635,0.19169766944143019,True,0.0346236601134481,2020-04-09,15
cs,0.12541058782541598,0.24094487624404198,0.18317773203472898,True,0.028883572104656502,2020-04-01,16
pl,-0.00450687965103784,0.15122211285671477,0.07335761660283846,False,0.03893224812693815,2020-04-09,16
ru,0.13503808507325388,0.1892850093476378,0.16216154721044584,True,0.013561731068595977,2020-04-15,16
uk,0.12355833834279982,0.2653898262914438,0.19447408231712182,True,0.035457871987161,2020-04-10,16
cs,0.1274869987924751,0.24502296996360445,0.18625498437803978,True,0.029383992792782344,2020-04-02,17
pl,-0.006092414071584687,0.14430476553653604,0.06910617573247568,False,0.037599294902030185,2020-04-10,17
