lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,-0.2747302859872619,0.5435765665624542,0.13442314028759617,False,0.20457671313742903,2020-03-16,0
pl,-0.18178462013666888,0.16528580108167637,-0.008249409527496254,False,0.08676760530458631,2020-03-24,0
ru,0.15492597094643384,0.33589404169656395,0.2454100063214989,True,0.04524201768753252,2020-03-30,0
uk,-0.2953660103431073,0.3121549126204042,0.008394451138648451,False,0.15188023074087786,2020-03-25,0
cs,-0.20079397245825514,0.6217482293269117,0.21047712843432825,False,0.2056355504462917,2020-03-17,1
pl,-0.13462439739735999,0.24097973597209227,0.05317766928736614,False,0.09390103334236306,2020-03-25,1
ru,0.15859516785557057,0.3403401779216566,0.24946767288861357,True,0.0454362525165215,2020-03-31,1
uk,-0.21742783791739478,0.38219136246541446,0.08238176227400984,False,0.1499048000957023,2020-03-26,1
cs,-0.14721853205220375,0.7042729454308638,0.27852720668933006,False,0.2128728693707669,2020-03-18,2
pl,-0.10085179200142627,0.2683601458994096,0.08375417694899168,False,0.09230298447520897,2020-03-26,2
ru,0.15318471868084704,0.336975504400821,0.24508011154083403,True,0.04594769642999349,2020-04-01,2
uk,-0.16737560248797806,0.41313673945878765,0.1228805684854048,False,0.14512808548669143,2020-03-27,2
cs,-0.1544179184421302,0.6907818109615047,0.2681819462596872,False,0.21129993235090871,2020-03-19,3
pl,-0.1243664690752321,0.26321903308023487,0.06942628200250137,False,0.09689637553886674,2020-03-27,3
ru,0.1561008150947398,0.32196775661982724,0.2390342858572835,True,0.04146673538127185,2020-04-02,3
uk,-0.12388175735876855,0.46295068711829407,0.16953446487976276,False,0.14670811111926566,2020-03-28,3
cs,-0.10941986031749074,0.724905334444391,0.3077427370634501,False,0.20858129869047043,2020-03-20,4
pl,-0.1070644978495858,0.27542017154521736,0.08417783684781577,False,0.09562116734870078,2020-03-28,4
ru,0.1636473167664887,0.3280654641966841,0.2458563904815864,True,0.04110453685754884,2020-04-03,4
uk,-0.09242556160876197,0.47600982302288636,0.1917921307070622,False,0.14210884615791208,2020-03-29,4
cs,-0.0704876905010979,0.3505103528633565,0.1400113311811293,False,0.1052495108411136,2020-03-21,5
pl,-0.019685495941601017,0.3795909074757767,0.17995270576708783,False,0.09981910085434442,2020-03-29,5
ru,0.17780298618614138,0.34099631850878614,0.25939965234746376,True,0.040798333080661185,2020-04-04,5
uk,0.0034251053585980518,0.5026905873409507,0.2530578463497744,True,0.12481637049558818,2020-03-30,5
cs,-0.03659474928623488,0.4020226974707226,0.18271397409224388,False,0.10965436168923938,2020-03-22,6
pl,-0.0013008512448247356,0.40814999171936395,0.20342457023726962,False,0.10236271074104718,2020-03-30,6
ru,0.17556530705126616,0.33827072429553406,0.2569180156734001,True,0.040676354311066976,2020-04-05,6
uk,0.03538896651061063,0.5877653222091016,0.3115771443598561,True,0.13809408892462274,2020-03-31,6
cs,-0.12146893010195575,0.36209950656027196,0.1203152882291581,False,0.12089210916555693,2020-03-23,7
pl,-0.019296117871449553,0.4025316760477944,0.1916177790881724,False,0.10545694847981098,2020-03-31,7
ru,0.1887926431106149,0.3466890238245037,0.2677408334675593,True,0.039474095178472196,2020-04-06,7
uk,-0.06063323694469669,0.5440495850032844,0.24170817402929384,False,0.15117070548699527,2020-04-01,7
cs,-0.15874616676799463,0.3213675894763629,0.08131071135418412,False,0.12002843906108938,2020-03-24,8
pl,-0.06423511210032767,0.3317774400024737,0.13377116395107302,False,0.09900313802570035,2020-04-01,8
ru,0.18656060216985115,0.3682265587254753,0.2773935804476632,True,0.04541648913890604,2020-04-07,8
uk,-0.09760297364944553,0.5072249557555983,0.20481099105307637,False,0.15120698235126095,2020-04-02,8
cs,-0.17479474748528834,0.2745558983144163,0.04988057541456399,False,0.11233766144992616,2020-03-25,9
pl,0.011082333157748231,0.40831720619968037,0.2096997696787143,True,0.09930871826048303,2020-04-02,9
ru,0.22755808057494153,0.43258826036218023,0.3300731704685609,True,0.051257544946809674,2020-04-08,9
uk,-0.056554934008768876,0.5490814667811577,0.2462632663861944,False,0.15140910019748163,2020-04-03,9
cs,-0.1373680503490704,0.3000037384071369,0.08131784402903325,False,0.10934294718905183,2020-03-26,10
pl,0.02294372732519165,0.39357641848351443,0.20826007290435306,True,0.0926581727895807,2020-04-03,10
ru,0.2197949166009346,0.44380915052070263,0.3318020335608186,True,0.05600355847994202,2020-04-09,10
uk,-0.08394334677217671,0.5348868093097147,0.225471731268769,False,0.15470753902047285,2020-04-04,10
cs,-0.06283320754102209,0.3846533525677227,0.16091007251335032,False,0.1118716400271862,2020-03-27,11
pl,-0.04994072601482327,0.3934442847086739,0.17175177934692532,False,0.1108462526808743,2020-04-04,11
ru,0.23016044382457573,0.4499481211570919,0.3400542824908338,True,0.054946919333129035,2020-04-10,11
uk,-0.03176592602642697,0.5578918805814967,0.26306297727753486,False,0.14741445165198092,2020-04-05,11
cs,-0.08977418631221734,0.36995041710881393,0.1400881153982983,False,0.11493115085525782,2020-03-28,12
pl,-0.1563770453238526,0.2900543794476775,0.06683866706191244,False,0.11160785619288252,2020-04-05,12
ru,0.22094479787864474,0.44616417274719633,0.33355448531292053,True,0.056304843717137905,2020-04-11,12
uk,0.00017788256896927868,0.5845213899949149,0.2923496362819421,True,0.1460858768564864,2020-04-06,12
cs,-0.14966926617757562,0.3218161660417298,0.0860734499320771,False,0.11787135805482636,2020-03-29,13
pl,-0.197892016467922,0.25864170239439666,0.030374842963237336,False,0.11413342971557967,2020-04-06,13
