lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,-0.0446340938088699,0.26316240055873635,0.10926415337493323,False,0.07694912359190156,2020-03-16,0
pl,-0.0783454925606696,0.03616241994603299,-0.021091536307318304,False,0.028626978126675647,2020-03-24,0
ru,0.06211135667060716,0.15045668995930087,0.10628402331495401,True,0.022086333322173426,2020-03-30,0
uk,-0.034041669305017716,0.15630142232849564,0.061129876511738956,False,0.047585772908378336,2020-03-25,0
cs,-0.024445695380225507,0.2956619639627441,0.13560813429125929,False,0.0800269148357424,2020-03-17,1
pl,-0.05878007727461386,0.05796484071167528,-0.0004076182814692908,False,0.029186229496572284,2020-03-25,1
ru,0.07417061804475168,0.15772853723337432,0.115949577639063,True,0.020889479797155656,2020-03-31,1
uk,-0.01791610715835698,0.19112036079032255,0.08660212681598278,False,0.05225911698716988,2020-03-26,1
cs,-0.02068943436813131,0.320565968009518,0.14993826682069333,False,0.08531385059441232,2020-03-18,2
pl,-0.054644284577045614,0.060799659521441056,0.003077687472197721,False,0.028860986024621667,2020-03-26,2
ru,0.057358593918641156,0.1459782195693138,0.10166840674397748,True,0.022154906412668162,2020-04-01,2
uk,-0.005399649528653849,0.3275536767194724,0.16107701359540927,False,0.08323833156203156,2020-03-27,2
cs,-0.018749659087945347,0.32237967735195927,0.15181500913200696,False,0.08528233410997615,2020-03-19,3
pl,-0.05439938249060419,0.06288946337328219,0.004245040441338999,False,0.029322211465971595,2020-03-27,3
ru,0.06532435585590891,0.15051470238292075,0.10791952911941483,True,0.021297586631752956,2020-04-02,3
uk,-1.0673871942940023,4.104248569174437,1.5184306874402171,False,1.2929089408671097,2020-03-28,3
cs,-0.0032564583412935943,0.34553955967681615,0.17114155066776127,False,0.08719900450452743,2020-03-20,4
pl,-0.05005699965593654,0.06687753431669427,0.008410267330378862,False,0.0292336334931577,2020-03-28,4
ru,0.07071553978872464,0.15582523716003155,0.11327038847437809,True,0.02127742434282673,2020-04-03,4
uk,-0.9132162987224954,4.235342123870888,1.6610629125741965,False,1.287139605648346,2020-03-29,4
cs,0.16189722521803473,0.32696111692891644,0.2444291710734756,True,0.04126597292772043,2020-03-21,5
pl,-0.022972446991300098,0.0903853843691079,0.033706468688903896,False,0.028339457840101997,2020-03-29,5
ru,0.028434982355981256,0.13206837977218577,0.08025168106408351,True,0.025908349354051126,2020-04-04,5
uk,-0.8303485338810741,4.297247904188947,1.7334496851539367,False,1.2818991095175054,2020-03-30,5
cs,0.1509500737338381,0.3222136055108563,0.2365818396223472,True,0.04281588294425455,2020-03-22,6
pl,-0.01540749933778885,0.09932410635876976,0.04195830351049046,False,0.028682901424139654,2020-03-30,6
ru,0.02896000867372127,0.13329974094898156,0.08112987481135142,True,0.026084933068815076,2020-04-05,6
uk,-0.6983221102390411,4.067295225867664,1.6844865578143113,False,1.1914043340266762,2020-03-31,6
cs,0.15675614076079042,0.33126873384601513,0.24401243730340277,True,0.04362814827130618,2020-03-23,7
pl,-0.01077927570569518,0.09502751988451866,0.04212412208941174,False,0.02645169889755346,2020-03-31,7
ru,0.0341434743752881,0.13819064723375019,0.08616706080451914,True,0.026011793214615518,2020-04-06,7
uk,-0.7506425824631626,4.029793328487289,1.6395753730120628,False,1.1951089777376127,2020-04-01,7
cs,0.14360127503974632,0.32661102093123984,0.23510614798549306,True,0.04575243647287337,2020-03-24,8
pl,-0.027307381913839843,0.0799014766501067,0.02629704736813343,False,0.026802214640986637,2020-04-01,8
ru,0.03540110522822443,0.1335307956993919,0.08446595046380817,True,0.02453242261779187,2020-04-07,8
uk,-0.7809681603257701,4.009152067509143,1.6140919535916867,False,1.1975300569587284,2020-04-02,8
cs,0.14436278581458067,0.3231210037595496,0.23374189478706514,True,0.04468955448624224,2020-03-25,9
pl,-0.020395921765898876,0.08520452740881668,0.0324043028214589,False,0.026400112293678887,2020-04-02,9
ru,0.04079927516648437,0.1358311091466511,0.08831519215656775,True,0.023757958495041687,2020-04-08,9
uk,-0.8597175751402384,3.948640972629466,1.5444616987446138,False,1.202089636942426,2020-04-03,9
cs,0.1591104605304809,0.35111755283662144,0.25511400668355116,True,0.048001773076535144,2020-03-26,10
pl,0.0016480369278842194,0.1008330788790985,0.05124055790349136,True,0.02479626048780357,2020-04-03,10
ru,0.04619020903259102,0.15558529444401975,0.10088775173830539,True,0.027348771352857182,2020-04-09,10
uk,-0.00946300970690761,0.573352801904445,0.2819448960987687,False,0.14570395290283816,2020-04-04,10
cs,0.16321765812039096,0.35436719210140505,0.258792425110898,True,0.047787383495253515,2020-03-27,11
pl,0.0008172531185867485,0.10026251144161144,0.05053988228009909,True,0.02486131458075617,2020-04-04,11
ru,0.04584937358630446,0.1545613596164166,0.10020536660136053,True,0.027177996507528036,2020-04-10,11
uk,-0.026432881005457903,0.3325373227469407,0.1530522208707414,False,0.08974255093809966,2020-04-05,11
cs,0.17786308495073117,0.37030414655096616,0.27408361575084866,True,0.04811026540005875,2020-03-28,12
pl,-0.005343954841359695,0.08244584581304842,0.03855094548584437,False,0.02194745016360203,2020-04-05,12
ru,0.08865074739118373,0.16860512754051926,0.1286279374658515,True,0.019988595037333884,2020-04-11,12
uk,-0.049960824124851005,0.2262984521535331,0.08816881401434104,False,0.06906481906959602,2020-04-06,12
cs,0.1631182208548171,0.363011191932304,0.26306470639356055,True,0.04997324276937174,2020-03-29,13
pl,-0.012148712922905341,0.0747686050125588,0.03130994604482673,False,0.021729329483866036,2020-04-06,13
ru,0.1024837018671386,0.18448539856038473,0.14348455021376166,True,0.020500424173311535,2020-04-12,13
uk,-0.0009676807646910451,0.025705485050887253,0.012368902143098104,False,0.0066682914538945745,2020-04-07,13
cs,0.12878323713322806,0.3379569922877683,0.2333701147104982,True,0.05229343878863507,2020-03-30,14
pl,-0.015442832307460394,0.11995756248293381,0.05225736508773671,False,0.03385009869759855,2020-04-07,14
ru,0.08953657016190585,0.1866224334149606,0.13807950178843323,True,0.02427146581326369,2020-04-13,14
uk,-0.0025838299932601436,0.023554497854964183,0.01048533393085202,False,0.006534581962056082,2020-04-08,14
cs,0.11772182910233975,0.3324266371392956,0.22507423312081767,True,0.05367620200923896,2020-03-31,15
pl,0.006085892937410298,0.14285757294166151,0.0744717329395359,True,0.034192920001062804,2020-04-08,15
ru,0.09967840320122397,0.19383960474649764,0.1467590039738608,True,0.023540300386318415,2020-04-14,15
uk,0.0008185132570231648,0.024728228062104708,0.012773370659563937,True,0.005977428701270386,2020-04-09,15
cs,0.11863299750484524,0.33258785033734456,0.2256104239210949,True,0.05348871320812483,2020-04-01,16
pl,0.01492359770321501,0.1477418316376346,0.0813327146704248,True,0.033204558483604894,2020-04-09,16
ru,0.11202466870564623,0.20128121271490898,0.1566529407102776,True,0.022314136002315688,2020-04-15,16
uk,0.0008829942020601861,0.02520897997536546,0.013045987088712824,True,0.006081496443326319,2020-04-10,16
cs,0.09667683047346347,0.2942227638148457,0.19544979714415459,True,0.04938648333534556,2020-04-02,17
pl,-0.001307282300108903,0.13722066076154882,0.06795668923071996,False,0.03463198576541443,2020-04-10,17
ru,0.0893868437354335,0.19088450687027697,0.14013567530285523,True,0.025374415783710864,2020-04-16,17
uk,0.0033504352397058373,0.02602122176713552,0.014685828503420678,True,0.00566769663185742,2020-04-11,17
cs,0.08429126315601392,0.2808923181528039,0.18259179065440892,True,0.0491502637491975,2020-04-03,18
pl,0.003422051990773306,0.15212473928159165,0.07777339563618248,True,0.037175671822704585,2020-04-11,18
ru,0.09917914328305623,0.20844466001068745,0.15381190164687183,True,0.027316379181907803,2020-04-17,18
uk,0.0006561474776433391,0.024926169481161303,0.01279115847940232,True,0.006067505500879491,2020-04-12,18
cs,0.07816413793709225,0.26380228193259836,0.1709832099348453,True,0.04640953599887653,2020-04-04,19
pl,-0.007986141257684515,0.1466203985956523,0.06931712866898389,False,0.0386516349633342,2020-04-12,19
ru,0.08544362193107682,0.19763152354957672,0.14153757274032677,True,0.02804697540462497,2020-04-18,19
uk,0.0006067415155673987,0.02009846922856189,0.010352605372064644,True,0.0048729319282486225,2020-04-13,19
cs,0.09416769614234854,0.28329131415461634,0.18872950514848244,True,0.04728090450306695,2020-04-05,20
pl,-0.004626402234450544,0.14906835555030643,0.07222097665792794,False,0.03842368944618924,2020-04-13,20
ru,0.06473476678762924,0.1742701738373851,0.11950247031250717,True,0.02738385176243897,2020-04-19,20
uk,0.0032414979999886052,0.02200261588417515,0.012622056942081877,True,0.004690279471046636,2020-04-14,20
cs,0.10437974246506665,0.3007107422284105,0.20254524234673857,True,0.04908274994083596,2020-04-06,21
pl,-0.007962113661166441,0.11044808633088432,0.051242986334858937,False,0.02960254999801269,2020-04-14,21
ru,0.06517847829199797,0.18190601382105492,0.12354224605652644,True,0.029181883882264243,2020-04-20,21
uk,0.003142079752676625,0.02092292318708076,0.012032501469878693,True,0.004445210858601034,2020-04-15,21
cs,0.14539773720873317,0.33573336471669385,0.2405655509627135,True,0.04758390687699018,2020-04-07,22
pl,-0.02306513660575512,0.07547553324117931,0.026205198317712092,False,0.024635167461733606,2020-04-15,22
ru,0.05424257484536151,0.1709294318275256,0.11258600333644356,True,0.029171714245541023,2020-04-21,22
uk,0.00047261482591768635,0.018121605221973834,0.00929711002394576,True,0.0044122475990140365,2020-04-16,22
cs,0.16441951197381593,0.36228062578289005,0.263350068878353,True,0.04946527845226852,2020-04-08,23
pl,-0.0426556581229213,0.05885732726682172,0.00810083457195021,False,0.025378246347435754,2020-04-16,23
ru,0.04484079723766392,0.15427570721754424,0.09955825222760409,True,0.027358727494970085,2020-04-22,23
uk,0.000582590691963784,0.017774321013745403,0.009178455852854595,True,0.004297932580445405,2020-04-17,23
cs,0.16435253901117136,0.355733370540745,0.2600429547759582,True,0.04784520788239341,2020-04-09,24
pl,-0.037357140880477736,0.06317523007323414,0.012909044596378205,False,0.02513309273842797,2020-04-17,24
ru,0.032816985469187675,0.14854601244799862,0.09068149895859315,True,0.028932256744702737,2020-04-23,24
uk,0.0012028276802569775,0.01840615522245831,0.009804491451357644,True,0.004300831885550333,2020-04-18,24
cs,0.1713836261846354,0.36235909088407037,0.2668713585343529,True,0.04774386617485875,2020-04-10,25
pl,-0.03877155560220906,0.05795677927126201,0.009592611834526477,False,0.024182083718367768,2020-04-18,25
ru,0.020003757350902755,0.10481229786073598,0.06240802760581937,True,0.021202135127458308,2020-04-24,25
uk,-0.0013416861601597673,0.016572437777539514,0.007615375808689873,False,0.00447853098442482,2020-04-19,25
cs,0.1702327900782787,0.3589082660045547,0.26457052804141673,True,0.04716886898156901,2020-04-11,26
pl,-0.03378250512137765,0.06360272933845862,0.014910112108540485,False,0.024346308614959067,2020-04-19,26
ru,0.014148697424901588,0.11594372480904332,0.06504621111697245,True,0.025448756846035432,2020-04-25,26
uk,-0.0012964445406940164,0.016042139912697116,0.007372847686001549,False,0.004334646113347783,2020-04-20,26
cs,0.16845357002367606,0.35990543361279986,0.26417950181823796,True,0.047862965897280944,2020-04-12,27
pl,-0.029439099594700716,0.06393955883823023,0.017250229621764757,False,0.023344664608232736,2020-04-20,27
ru,-0.005237433840235173,0.10742599178017637,0.0510942789699706,False,0.028165856405102885,2020-04-26,27
uk,-0.004113810440345438,0.013199689255955731,0.004542939407805147,False,0.004328374924075292,2020-04-21,27
cs,0.19276693392806607,0.39007690031228526,0.2914219171201757,True,0.049327491596054804,2020-04-13,28
pl,-0.03246032734562152,0.05432224241785597,0.010930957536117225,False,0.021695642440869373,2020-04-21,28
ru,-0.010981231151261706,0.09433540004149799,0.04167708444511814,False,0.026329157798189923,2020-04-27,28
uk,-0.004026996259875898,0.014676647439303076,0.005324825589713589,False,0.0046759109247947435,2020-04-22,28
cs,0.1958129173838627,0.4043987911154909,0.3001058542496768,True,0.052146468432907045,2020-04-14,29
pl,-0.03535571402894647,0.05178759539720837,0.008215940684130951,False,0.02178582735653871,2020-04-22,29
ru,-0.00226151646783105,0.10373847021351193,0.05073847687284044,False,0.026499996670335747,2020-04-28,29
uk,-0.004187311356663528,0.015507323239376116,0.005660005941356294,False,0.004923658649009911,2020-04-23,29
cs,0.19696658781619114,0.39978304108322105,0.2983748144497061,True,0.05070411331675747,2020-04-15,30
pl,-0.025631147382772716,0.05881316540660985,0.016591009011918567,False,0.02111107819734564,2020-04-23,30
ru,0.008576081032841153,0.12585057091656712,0.06721332597470414,True,0.029318622470931494,2020-04-29,30
uk,-0.0031469939963605417,0.01671377891963078,0.006783392461635118,False,0.00496519322899783,2020-04-24,30
cs,0.21586238029772417,0.42058280499799705,0.3182225926478606,True,0.05118010617506823,2020-04-16,31
pl,-0.02532439856918757,0.058619605034563774,0.016647603232688102,False,0.020986000900937836,2020-04-24,31
ru,0.033919972710175564,0.1521207222654618,0.09302034748781868,True,0.029550187388821557,2020-04-30,31
uk,-0.007357192256312288,0.0141072605506031,0.003375034147145406,False,0.005366113201728847,2020-04-25,31
cs,0.2090633543694763,0.4174723723446807,0.3132678633570785,True,0.05210225449380111,2020-04-17,32
pl,-0.02631981668681492,0.056701419860327604,0.015190801586756342,False,0.02075530913678563,2020-04-25,32
ru,0.05269880541294787,0.18364840647397568,0.11817360594346177,True,0.03273740026525695,2020-05-01,32
uk,-0.005743199687662792,0.015879210236596553,0.00506800527446688,False,0.005405602481064836,2020-04-26,32
cs,0.20311448780684016,0.4109093692058168,0.30701192850632847,True,0.051948720349744154,2020-04-18,33
pl,-0.020833415133625417,0.06041131115125881,0.019788948008816698,False,0.020311181571221058,2020-04-26,33
ru,0.06585927279549886,0.20093005069789793,0.1333946617466984,True,0.03376769447559977,2020-05-02,33
uk,-0.007558053193887715,0.014648770276528245,0.003545358541320265,False,0.00555170586760399,2020-04-27,33
cs,0.19408056775882437,0.41002073330068994,0.30205065052975716,True,0.05398504138546639,2020-04-19,34
pl,-0.027344606927653746,0.052079734279800526,0.01236756367607339,False,0.019856085301863568,2020-04-27,34
ru,0.09526610541176617,0.20843313643531225,0.1518496209235392,True,0.02829175775588652,2020-05-03,34
uk,-0.007038351944708879,0.015203582771381743,0.004082615413336432,False,0.0055604836790226556,2020-04-28,34
cs,0.18521812435437923,0.3939992316831855,0.2896086780187824,True,0.05219527683220157,2020-04-20,35
pl,-0.03815385874752922,0.042478163839297506,0.002162152545884144,False,0.02015800564670668,2020-04-28,35
ru,0.10693168231713532,0.2137461860509088,0.16033893418402206,True,0.026703625933443373,2020-05-04,35
uk,-0.007017017949280214,0.015366089683642937,0.0041745358671813615,False,0.005595776908230788,2020-04-29,35
cs,0.1649545568164863,0.358661347662906,0.26180795223969616,True,0.04842669771160493,2020-04-21,36
pl,-0.029158916560048924,0.04980720520931519,0.010324144324633133,False,0.01974153044234103,2020-04-29,36
ru,0.10745612315393627,0.21092076053393316,0.1591884418439347,True,0.02586615934499922,2020-05-05,36
uk,-0.008565857146079558,0.014801618680409145,0.0031178807671647935,False,0.005841868956622176,2020-04-30,36
cs,0.15284236198297152,0.3434914689795615,0.24816691548126651,True,0.0476622767491475,2020-04-22,37
pl,-0.033478797120620137,0.04901159604688427,0.007766399463132068,False,0.020622598291876102,2020-04-30,37
ru,0.11131852470895556,0.2145807697706925,0.16294964723982402,True,0.025815561265434227,2020-05-06,37
uk,-0.007833034396590919,0.01579914630628718,0.00398305595484813,False,0.005908045175719525,2020-05-01,37
cs,0.1487919603491466,0.34158064555540474,0.24518630295227567,True,0.04819717130156454,2020-04-23,38
pl,-0.046619994810740605,0.0393183742711631,-0.0036508102697887512,False,0.021484592270475927,2020-05-01,38
ru,0.10079530161376771,0.20506449872821164,0.15292990017098967,True,0.026067299278610984,2020-05-07,38
uk,-0.0037094160144991624,0.018297856896064408,0.007294220440782623,False,0.005501818227640893,2020-05-02,38
cs,0.1597127851543333,0.3528222249887951,0.2562675050715642,True,0.04827735995861545,2020-04-24,39
pl,-0.05324801325665894,0.038403379698523574,-0.007422316779067684,False,0.02291284823879563,2020-05-02,39
ru,0.09396433825490166,0.17509471931545753,0.1345295287851796,True,0.020282595265138963,2020-05-08,39
uk,-0.0012639337527870342,0.01992401140625609,0.009330038826734527,False,0.0052969862897607805,2020-05-03,39
cs,0.1851873109718536,0.3739686314704024,0.279577971221128,True,0.04719533012463719,2020-04-25,40
pl,-0.06453648883423135,0.032772513606949105,-0.015881987613641124,False,0.024327250610295115,2020-05-03,40
ru,0.09148615116368194,0.167060749833193,0.12927345049843747,True,0.01889364966737776,2020-05-09,40
uk,-0.006767722861915015,0.020108269899081155,0.00667027351858307,False,0.0067189981902490425,2020-05-04,40
cs,0.20004099557549485,0.38847344950628004,0.29425722254088743,True,0.04710811348269629,2020-04-26,41
pl,-0.06745421266292731,0.026236665661649096,-0.02060877350063911,False,0.023422719581144103,2020-05-04,41
ru,0.0894216402871231,0.16721774965009603,0.12831969496860957,True,0.019449027340743233,2020-05-10,41
uk,-0.006587708179488018,0.021434114070207302,0.0074232029453596415,False,0.00700545556242383,2020-05-05,41
cs,0.19049350746724586,0.3913945770520942,0.29094404225967,True,0.050225267396212074,2020-04-27,42
pl,-0.05980121937607749,0.030406037177706263,-0.014697591099185614,False,0.02255181413844594,2020-05-05,42
ru,0.09255899611764226,0.1766588289343615,0.13460891252600188,True,0.021024958204179805,2020-05-11,42
uk,-0.005798758210977429,0.02165981443855715,0.007930528113789859,False,0.006864643162383644,2020-05-06,42
cs,0.2009745855015235,0.40290551608138714,0.3019400507914553,True,0.0504827326449659,2020-04-28,43
pl,-0.060306265056677716,0.02589162784045032,-0.017207318608113698,False,0.02154947322428201,2020-05-06,43
ru,0.10092711200130894,0.1924175627655607,0.14667233738343483,True,0.022872612691062943,2020-05-12,43
uk,-0.002107862135809697,0.02327736257201206,0.01058475021810118,False,0.0063463061769554385,2020-05-07,43
cs,0.18696842176566253,0.41107917156989293,0.29902379666777773,True,0.056027687451057594,2020-04-29,44
pl,-0.05408761466981903,0.03964747044591543,-0.007220072111951803,False,0.023433771278933615,2020-05-07,44
ru,0.08331107621154571,0.17860254602940656,0.13095681112047614,True,0.023822867454465217,2020-05-13,44
uk,-0.0017701143822421387,0.023379571609164117,0.01080472861346099,False,0.006287421497851564,2020-05-08,44
cs,0.18708710681544125,0.40539138218390625,0.29623924449967376,True,0.05457606884211626,2020-04-30,45
pl,-0.0441379466838537,0.047980997108700484,0.0019215252124233917,False,0.023029735948138546,2020-05-08,45
ru,0.06956799417785665,0.17205751815455517,0.1208127561662059,True,0.025622380994174625,2020-05-14,45
uk,-0.0008650903496841625,0.025243522571157452,0.012189216110736645,False,0.006527153230210404,2020-05-09,45
cs,0.17020489472050698,0.39886305916931525,0.2845339769449111,True,0.057164541112202066,2020-05-01,46
pl,-0.049245567888870544,0.045220681012832796,-0.002012443438018874,False,0.023616562225425835,2020-05-09,46
ru,0.059012487514782365,0.17023130837610492,0.11462189794544364,True,0.027804705215330638,2020-05-15,46
uk,-0.0016187514065329634,0.023974393872284352,0.011177821232875695,False,0.006398286319704329,2020-05-10,46
cs,0.1173968066164238,0.3714631772749558,0.24442999194568982,True,0.06351659266463301,2020-05-02,47
pl,-0.04641911594812602,0.04766901404860184,0.0006249490502379107,False,0.023522032499181965,2020-05-10,47
ru,0.045464698487065816,0.1576109184351967,0.10153780846113125,True,0.028036554987032718,2020-05-16,47
uk,0.009606587348919,0.034387976708402386,0.021997282028660692,True,0.006195347339870846,2020-05-11,47
cs,0.06714888330781577,0.3258316739564745,0.19649027863214513,True,0.06467069766216468,2020-05-03,48
pl,-0.03865421104592699,0.06902393338725434,0.015184861170663672,False,0.026919536108295332,2020-05-11,48
ru,0.05158964591829791,0.16157482582739213,0.10658223587284503,True,0.027496294977273558,2020-05-17,48
uk,0.013755181922541134,0.039590926366682905,0.02667305414461202,True,0.006458936111035442,2020-05-12,48
cs,0.07297647997567087,0.3074099919605939,0.19019323596813237,True,0.05860837799623075,2020-05-04,49
pl,-0.04521901424489607,0.06489774444509208,0.009839365100098002,False,0.027529189672497036,2020-05-12,49
ru,0.052073467445678916,0.1701130107376736,0.11109323909167626,True,0.029509885822998672,2020-05-18,49
uk,0.013639950780054646,0.0403726655514699,0.02700630816576227,True,0.006683178692853813,2020-05-13,49
