lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
cs,-0.20831445508315755,0.2301930460905559,0.010939295503699192,False,0.10962687529342836,2020-03-16,0
pl,-0.11283590386248386,0.23336795963522483,0.06026602788637049,False,0.08655096587442718,2020-03-24,0
ru,-0.11474944615691944,0.022679721026740665,-0.04603486256508939,False,0.034357291795915026,2020-03-30,0
uk,-0.3380900686093086,0.10381651719641839,-0.11713677570644511,False,0.11047664645143175,2020-03-25,0
cs,-0.2018244226055723,0.2541307756348129,0.026153176514620315,False,0.1139887995600963,2020-03-17,1
pl,-0.1321744515056781,0.17326981305461,0.020547680774465955,False,0.07636106614007203,2020-03-25,1
ru,-0.11656977064280545,0.018674512098003096,-0.04894762927240118,False,0.03381107068520214,2020-03-31,1
uk,-0.3527073917042966,0.09530018619984038,-0.1287036027522281,False,0.11200189447603424,2020-03-26,1
cs,-0.18120380612263914,0.2803116911497597,0.04955394251356028,False,0.1153788743180997,2020-03-18,2
pl,-0.1490215757149699,0.15737712278571372,0.004177773535371902,False,0.07659967462517091,2020-03-26,2
ru,-0.10294317272290335,0.02168444917528318,-0.04062936177381009,False,0.031156905474546633,2020-04-01,2
uk,-0.3838711860625298,0.2330181060415465,-0.07542654001049164,False,0.15422232302601907,2020-03-27,2
cs,-0.1773600644217534,0.3042761310394889,0.06345803330886776,False,0.12040904886531058,2020-03-19,3
pl,-0.1389980799685297,0.1815556028101179,0.021278761420794108,False,0.0801384206946619,2020-03-27,3
ru,-0.10469906727740044,0.053225787333077895,-0.025736639972161274,False,0.039481213652619584,2020-04-02,3
uk,-0.3839164603320041,0.24241670623554287,-0.07074987704823063,False,0.15658329164188675,2020-03-28,3
cs,-0.1952842069030895,0.3153265690077354,0.06002118105232295,False,0.12765269397770623,2020-03-20,4
pl,-0.09489324460069923,0.35067036514600447,0.12788856027265263,False,0.11139090243667593,2020-03-28,4
ru,-0.10927700511910338,0.06769901992046107,-0.02078899259932116,False,0.04424400625989111,2020-04-03,4
uk,-0.5379879155131546,0.15490580486216915,-0.19154105532549276,False,0.17322343009383095,2020-03-29,4
cs,-0.21430498201102116,0.28832146535082764,0.03700824166990324,False,0.1256566118404622,2020-03-21,5
pl,-0.0422327266215137,0.3961052663173378,0.17693626984791203,False,0.10958449823471286,2020-03-29,5
ru,-0.15576965596398928,0.049894268324767496,-0.05293769381961089,False,0.05141598107218919,2020-04-04,5
uk,-0.5036579601706125,0.21300080029259158,-0.14532857993901047,False,0.17916469011580102,2020-03-30,5
cs,-0.20297504355950582,0.30110779014279515,0.04906637329164467,False,0.12602070842557525,2020-03-22,6
pl,0.10380803035473302,0.5209184800192659,0.3123632551869994,True,0.1042776124161332,2020-03-30,6
ru,-0.17587155341222344,0.04544435328217378,-0.06521360006502483,False,0.0553289766735993,2020-04-05,6
uk,-0.5255274710927456,0.18453319813342137,-0.1704971364796621,False,0.17751516730654174,2020-03-31,6
cs,-0.17315721968403808,0.31589234467474603,0.07136756249535396,False,0.12226239108969603,2020-03-23,7
pl,0.1432459626964134,0.558451042766582,0.3508485027314977,True,0.10380127001754215,2020-03-31,7
ru,-0.178386821974014,0.03749508678034384,-0.07044586759683509,False,0.053970477188589466,2020-04-06,7
uk,-0.488399534004048,0.22840716493026803,-0.12999618453689,False,0.179201674733579,2020-04-01,7
cs,-0.1679095748799276,0.33427799264116176,0.08318420888061709,False,0.12554689188027235,2020-03-24,8
pl,0.15921911196541882,0.5709336247745541,0.36507636836998647,True,0.10292862820228382,2020-04-01,8
ru,-0.17996554784746693,0.03062363372039724,-0.07467095706353485,False,0.05264729539196605,2020-04-07,8
uk,-0.4004307422602572,0.30765077393000373,-0.04638998416512677,False,0.17702037904756524,2020-04-02,8
cs,-0.16087599279845768,0.36051015990745905,0.09981708355450067,False,0.13034653817647918,2020-03-25,9
pl,0.1907012134633237,0.5836744229651443,0.387187818214234,True,0.09824330237545514,2020-04-02,9
ru,-0.19547323318218462,0.010327531244864172,-0.09257285096866022,False,0.051450191106762196,2020-04-08,9
uk,-0.4540701951526047,0.12445559127261116,-0.1648073019399968,False,0.14463144660630398,2020-04-03,9
cs,-0.2083624101074131,0.29710203620359876,0.04436981304809282,False,0.12636611157775296,2020-03-26,10
pl,0.09957022063143742,0.5585317360502103,0.32905097834082386,True,0.11474037885469322,2020-04-03,10
ru,-0.20000718692596828,0.022042548151188474,-0.0889823193873899,False,0.05551243376928919,2020-04-09,10
uk,-0.43800375366815336,0.12110257221785059,-0.15845059072515139,False,0.139776581471501,2020-04-04,10
cs,-0.19522863035946714,0.29519702121383923,0.04998419542718605,False,0.12260641289332659,2020-03-27,11
pl,0.06565614545757781,0.42017866498116746,0.24291740521937263,True,0.08863062988089741,2020-04-04,11
ru,-0.20752224200325453,0.0026643963287134587,-0.10242892283727054,False,0.052546659582992,2020-04-10,11
uk,-0.3892653382798382,0.13047805186680117,-0.12939364320651853,False,0.12993584753665985,2020-04-05,11
cs,-0.20565213027677506,0.31811709621296996,0.05623248296809744,False,0.13094230662243625,2020-03-28,12
pl,0.021640190433807244,0.38965640046034133,0.20564829544707428,True,0.09200405250663352,2020-04-05,12
ru,-0.15849729850049626,0.029345885159265395,-0.06457570667061543,False,0.046960795914940415,2020-04-11,12
uk,-0.5535469673763074,-0.0415255689551427,-0.29753626816572504,True,0.12800534960529117,2020-04-06,12
cs,-0.2569416051616119,0.2960857987091028,0.01957209677374542,False,0.13825685096767867,2020-03-29,13
pl,-0.01591673609136765,0.29768333780462275,0.14088330085662756,False,0.0784000184739976,2020-04-06,13
ru,-0.15314300349338708,0.022955734497322106,-0.06509363449803249,False,0.0440246844976773,2020-04-12,13
uk,-0.4987399828855159,-0.01533313929545363,-0.2570365610904848,True,0.12085171089751558,2020-04-07,13
cs,-0.25895542006353833,0.2740798533668226,0.007562216651642112,False,0.13325881835759024,2020-03-30,14
pl,-0.06526886148253436,0.234316022862056,0.08452358068976082,False,0.07489622108614759,2020-04-07,14
ru,-0.15126450464030608,0.016079831473718692,-0.0675923365832937,False,0.04183608402850619,2020-04-13,14
uk,-0.4953619343285153,-0.035547907449207855,-0.2654549208888616,True,0.11495350671982686,2020-04-08,14
cs,-0.21506469809614695,0.2933009333887341,0.039118117646293554,False,0.12709140787122025,2020-03-31,15
pl,-0.08995271769698854,0.2083140274446897,0.059180654873850574,False,0.07456668628541956,2020-04-08,15
ru,-0.14684769155682142,0.01932470748112662,-0.0637614920378474,False,0.04154309975948701,2020-04-14,15
uk,-0.5143254310775174,-0.06188341565093025,-0.2881044233642238,True,0.11311050385664678,2020-04-09,15
cs,-0.25103972449257467,0.2274824256200264,-0.01177864943627413,False,0.11963053752815027,2020-04-01,16
pl,-0.09842173498045562,0.19850638834869047,0.05004232668411743,False,0.07423203083228652,2020-04-09,16
ru,-0.12407269518792038,0.045157136711127394,-0.039457779238396495,False,0.042307457974761944,2020-04-15,16
uk,-0.49735032243383115,-0.04997189593121343,-0.2736611091825223,True,0.11184460662565443,2020-04-10,16
cs,-0.22074699572010692,0.2666758013053235,0.02296440279260828,False,0.1218556992563576,2020-04-02,17
pl,-0.014231851359964076,0.2521245780355785,0.1189463633378072,False,0.06658910734888564,2020-04-10,17
ru,-0.13090746670987713,0.028645721976401348,-0.051130872366737884,False,0.039888297171569616,2020-04-16,17
uk,-0.48389510036433503,-0.03515414886065307,-0.25952462461249404,True,0.11218523787592048,2020-04-11,17
cs,-0.22719512739168823,0.25681735622057755,0.01481111441444466,False,0.12100312090306645,2020-04-03,18
pl,0.031083041302405273,0.31607061772004463,0.17357682951122497,True,0.07124689410440985,2020-04-11,18
ru,-0.10712272203058187,0.05761529817105915,-0.024753711929761363,False,0.041184505050410256,2020-04-17,18
uk,-0.4396166182965626,0.007674194716749877,-0.21597121178990636,False,0.11182270325332812,2020-04-12,18
cs,-0.26993505922534844,0.22373428314532404,-0.023100388040012187,False,0.12341733559266811,2020-04-04,19
pl,0.08742220520551747,0.4527923270321087,0.2701072661188131,True,0.09134253045664781,2020-04-12,19
ru,-0.11326359272394221,0.04733711331051621,-0.032963239706713,False,0.040150176508614605,2020-04-18,19
uk,-0.35232374617463,0.057955263803398355,-0.14718424118561585,False,0.1025697524945071,2020-04-13,19
cs,-0.29885872417791987,0.2608137920026797,-0.019022466087620094,False,0.13991812904514989,2020-04-05,20
pl,0.03743073698023097,0.4320556221009047,0.23474317954056784,True,0.09865622128016843,2020-04-13,20
ru,-0.0834014205041439,0.059689867092103055,-0.011855776706020421,False,0.03577282189906174,2020-04-19,20
uk,-0.33881661672395424,0.07917516512746811,-0.12982072579824305,False,0.10449794546285558,2020-04-14,20
cs,-0.33225001939319343,0.26633191556580127,-0.03295905191369605,False,0.14964548373974867,2020-04-06,21
pl,0.06194448757722987,0.44640420310919354,0.2541743453432117,True,0.09611492888299092,2020-04-14,21
ru,-0.10187810311451387,0.0583974640042296,-0.021740319555142135,False,0.04006889177968587,2020-04-20,21
uk,-0.25965468232891453,0.19767039449905058,-0.030992143914931963,False,0.11433126920699127,2020-04-15,21
cs,-0.38076645641003803,0.18936212930762453,-0.09570216355120675,False,0.14253214642941564,2020-04-07,22
pl,0.1048852379232009,0.4733173835595539,0.2891013107413774,True,0.09210803640908825,2020-04-15,22
ru,-0.09840458291704972,0.05742390969014215,-0.020490336613453786,False,0.038957123151797966,2020-04-21,22
uk,-0.26431975153608134,0.19208557364252954,-0.0361170889467759,False,0.11410133129465272,2020-04-16,22
cs,-0.3685350274154423,0.15913440183492691,-0.10470031279025768,False,0.1319173573125923,2020-04-08,23
pl,0.09012789320329209,0.4663113209302052,0.27821960706674864,True,0.09404585693172827,2020-04-16,23
ru,-0.12076068036354161,0.04928455382487475,-0.03573806326933343,False,0.04251130854710409,2020-04-22,23
uk,-0.24809890823593966,0.21072017621609995,-0.018689366009919856,False,0.1147047711130099,2020-04-17,23
cs,-0.3386669904899809,0.14236620283990625,-0.09815039382503732,False,0.12025829833247179,2020-04-09,24
pl,0.0925408692972168,0.47541238035804445,0.28397662482763064,True,0.09571787776520692,2020-04-17,24
ru,-0.11456780563532741,0.09334697487917375,-0.010610415378076832,False,0.05197869512862529,2020-04-23,24
uk,-0.2913520764452312,0.18962582417129306,-0.05086312613696908,False,0.12024447515413107,2020-04-18,24
cs,-0.3570514835244596,0.12021541165856078,-0.11841803593294942,False,0.1193167237957551,2020-04-10,25
pl,0.07228492470178477,0.45073725975608786,0.2615110922289363,True,0.09461308376357577,2020-04-18,25
ru,-0.09744849731631432,0.12215454417303183,0.012353023428358756,False,0.054900760372336536,2020-04-24,25
uk,-0.31166439226045695,0.18350413960131642,-0.06408012632957027,False,0.12379213296544335,2020-04-19,25
cs,-0.31729392251151856,0.16927155350650197,-0.07401118450250829,False,0.12164136900450513,2020-04-11,26
pl,0.02896045263101943,0.3226653422446332,0.17581289743782633,True,0.07342622240340345,2020-04-19,26
ru,-0.10534215283230373,0.12254680741352734,0.008602327290611805,False,0.05697224006145777,2020-04-25,26
uk,-0.38743507681114664,0.12817290746275464,-0.129631084674196,False,0.12890199606847533,2020-04-20,26
cs,-0.325330397042779,0.1577785480759187,-0.08377592448343013,False,0.12077723627967442,2020-04-12,27
pl,0.030237928962890515,0.3003297534233134,0.16528384119310197,True,0.06752295611510573,2020-04-20,27
ru,-0.14861677178081878,0.10875603740705403,-0.019930367186882375,False,0.0643432022969682,2020-04-26,27
uk,-0.4220171719292362,0.08162562118264077,-0.17019577537329772,False,0.12591069827796925,2020-04-21,27
cs,-0.30185808146751525,0.18395392482200795,-0.05895207832275365,False,0.1214530015723808,2020-04-13,28
pl,0.05870182940922844,0.3210058845968543,0.1898538570030414,True,0.06557601379690647,2020-04-21,28
ru,-0.1355349212383927,0.11542222216137057,-0.010056349538511061,False,0.06273928584994082,2020-04-27,28
uk,-0.4281761113090779,0.027139137644489164,-0.20051848683229437,False,0.11382881223839177,2020-04-22,28
cs,-0.27269125129077376,0.23988647551378886,-0.016402387888492437,False,0.12814443170114065,2020-04-14,29
pl,0.04328373440179993,0.2918856996712541,0.16758471703652703,True,0.06215049131736355,2020-04-22,29
ru,-0.1361350863724423,0.11407741375457517,-0.01102883630893356,False,0.06255312503175436,2020-04-28,29
uk,-0.4264912252964833,0.01235059586272827,-0.2070703147168775,False,0.10971045528980289,2020-04-23,29
cs,-0.26658258259784057,0.28091002942756255,0.00716372341486099,False,0.13687315300635078,2020-04-15,30
pl,0.09823316178617067,0.42415302907040864,0.26119309542828967,True,0.0814799668210595,2020-04-23,30
ru,-0.14664127182712955,0.10549078457314498,-0.020575243626992284,False,0.06303301410006863,2020-04-29,30
uk,-0.44013768534853837,-0.010016236914167975,-0.22507696113135317,True,0.1075303621085926,2020-04-24,30
cs,-0.31979472220040367,0.21679361375063183,-0.05150055422488592,False,0.13414708398775887,2020-04-16,31
pl,0.09624541022877389,0.43605823650437003,0.26615182336657195,True,0.08495320656889903,2020-04-24,31
ru,-0.1522595249444666,0.0394610253363209,-0.05639924980407285,False,0.047930137570196873,2020-04-30,31
uk,-0.43176444186640806,-0.007531112556891512,-0.2196477772116498,True,0.10605833232737914,2020-04-25,31
cs,-0.3316139675929312,0.2061807272248683,-0.06271662018403146,False,0.13444867370444988,2020-04-17,32
pl,0.08424026779659077,0.4351984539008589,0.2597193608487248,True,0.08773954652606702,2020-04-25,32
ru,-0.17079229441270377,-0.019228954183022992,-0.09501062429786339,True,0.0378908350574202,2020-05-01,32
uk,-0.4770120138087218,-0.0325319794779374,-0.2547719966433296,True,0.1111200085826961,2020-04-26,32
cs,-0.35360404537554163,0.1845781747008533,-0.08451293533734416,False,0.13454555501909873,2020-04-18,33
pl,0.03573656297857461,0.4306720782374829,0.23320432060802876,True,0.09873387881472707,2020-04-26,33
ru,-0.1472735339171093,-0.0008601413164020383,-0.07406683761675567,True,0.036603348150176816,2020-05-02,33
uk,-0.4754113528169679,-0.014898446614249189,-0.24515489971560855,True,0.11512822655067968,2020-04-27,33
cs,-0.26687615670320286,0.19322222087478283,-0.03682696791421003,False,0.11502459439449643,2020-04-19,34
pl,0.04234941051610247,0.46807626641741246,0.25521283846675746,True,0.1064317139753275,2020-04-27,34
ru,-0.10831083132866907,0.022938703021740878,-0.0426860641534641,False,0.03281238358760249,2020-05-03,34
uk,-0.4649032152075295,0.001010643415351009,-0.23194628589608923,False,0.11647846465572012,2020-04-28,34
cs,-0.2849072389339308,0.2056487979939044,-0.03962922047001319,False,0.12263900923195879,2020-04-20,35
pl,0.05611945967826029,0.5036236096199868,0.2798715346491235,True,0.11187603748543161,2020-04-28,35
ru,-0.11138975728133911,0.018913998834220527,-0.04623787922355929,False,0.03257593902888991,2020-05-04,35
uk,-0.5169744833702089,-0.06280000690289769,-0.2898872451365533,True,0.1135436191168278,2020-04-29,35
cs,-0.2645011370902858,0.2553564481629266,-0.004572344463679601,False,0.1299643963133031,2020-04-21,36
pl,0.062313712852448355,0.5090307832933901,0.28567224807291924,True,0.11167926761023544,2020-04-29,36
ru,-0.12547092043213895,0.0041954033375045385,-0.060637758547317205,False,0.03241658094241087,2020-05-05,36
uk,-0.5418017214939972,-0.11705137277385638,-0.3294265471339268,True,0.1061875871800352,2020-04-30,36
cs,-0.2728187058717061,0.2354552102560303,-0.018681747807837903,False,0.1270684790319341,2020-04-22,37
pl,0.05551508564513938,0.4739784011906908,0.2647467434179151,True,0.10461582888638786,2020-04-30,37
ru,-0.10994478886684188,0.0427448814345424,-0.03359995371614974,False,0.03817241757534607,2020-05-06,37
uk,-0.5190431100831335,-0.009999819431582901,-0.2645214647573582,True,0.12726082266288766,2020-05-01,37
cs,-0.22652773537902707,0.2918090779222518,0.032640671271612375,False,0.12958420332531972,2020-04-23,38
pl,0.06843968285056262,0.49447956541988397,0.2814596241352233,True,0.10650997064233034,2020-05-01,38
ru,-0.10321189430068814,0.06512592114986235,-0.019042986575412903,False,0.04208445386263762,2020-05-07,38
uk,-0.4810727907309902,0.0189946602236111,-0.23103906525368953,False,0.12501686273865031,2020-05-02,38
cs,-0.09590226371151786,0.46627976279687344,0.1851887495426778,False,0.14054550662709783,2020-04-24,39
pl,0.09303976416419735,0.527798284953268,0.31041902455873266,True,0.10868963019726766,2020-05-02,39
ru,-0.11428518641071637,0.06647056513972098,-0.023907310635497697,False,0.04518893788760934,2020-05-08,39
uk,-0.4457976108033345,0.031825779981088376,-0.20698591541112307,False,0.11940584769610572,2020-05-03,39
cs,-0.21003312543340047,0.42478268135035147,0.10737477795847551,False,0.15870395169593798,2020-04-25,40
pl,0.169213670822233,0.5486537085625631,0.3589336896923981,True,0.09486000943508255,2020-05-03,40
ru,-0.12352514096503127,0.059725270979964704,-0.03189993499253328,False,0.04581260298624899,2020-05-09,40
uk,-0.3786398892000554,0.057675995465221036,-0.16048194686741718,False,0.10907897116631911,2020-05-04,40
cs,-0.4159279986651382,0.3628040962504,-0.026561951207369084,False,0.19468302372888455,2020-04-26,41
pl,0.20159770534252117,0.5185195167548309,0.36005861104867604,True,0.07923045285307743,2020-05-04,41
ru,-0.11648249667934694,0.05276449089234449,-0.03185900289350123,False,0.04231174689292286,2020-05-10,41
uk,-0.3693894504725308,0.08044107604871356,-0.1444741872119086,False,0.11245763163031108,2020-05-05,41
cs,-0.4241965860681848,0.3353706020720689,-0.04441299199805792,False,0.18989179703506343,2020-04-27,42
pl,0.17762382820302455,0.4865931430389171,0.33210848562097084,True,0.07724232870897314,2020-05-05,42
ru,-0.14419851380650409,0.05157544652473393,-0.046311533640885076,False,0.0489434900828095,2020-05-11,42
uk,-0.31939676687104734,0.15252138395232934,-0.083437691459359,False,0.11797953770584417,2020-05-06,42
cs,-0.5007154400752756,0.17678408211608648,-0.16196567897959457,False,0.16937488054784053,2020-04-28,43
pl,0.20505439233314857,0.5142957023084892,0.3596750473208189,True,0.07731032749383517,2020-05-06,43
ru,-0.11406991233369547,0.08133619770180646,-0.016366857315944505,False,0.04885152750887548,2020-05-12,43
uk,-0.25380898335112734,0.23346658498087378,-0.010171199185126795,False,0.12181889208300029,2020-05-07,43
cs,-0.4776456065238759,0.11141029176957729,-0.1831176573771493,False,0.1472639745733633,2020-04-29,44
pl,0.12436342586963095,0.4517071697461689,0.28803529780789994,True,0.0818359359691345,2020-05-07,44
ru,-0.11036607985627565,0.0882367060562421,-0.011064686900016774,False,0.04965069647812944,2020-05-13,44
uk,-0.2732337946979151,0.17764639619113867,-0.04779369925338822,False,0.11272004772226345,2020-05-08,44
cs,-0.42601666981895003,0.11334061551576269,-0.15633802715159367,False,0.13483932133367818,2020-04-30,45
pl,0.1004807083587792,0.45776010988839877,0.279120409123589,True,0.08931985038240489,2020-05-08,45
ru,-0.11519739868117858,0.08261457791894151,-0.016291410381118532,False,0.04945299415003002,2020-05-14,45
uk,-0.34658534754104675,0.15010954306535107,-0.09823790223784784,False,0.12417372265159946,2020-05-09,45
cs,-0.5084631997063283,-0.0757326901823866,-0.2920979449443574,True,0.10818262738098541,2020-05-01,46
pl,0.07637340446674018,0.43006840631701265,0.2532209053918764,True,0.08842375046256812,2020-05-09,46
ru,-0.10954438110239871,0.08764971061282366,-0.010947335244787526,False,0.04929852292880559,2020-05-15,46
uk,-0.23247166575190098,0.2408646521396623,0.004196493193880657,False,0.11833407947289082,2020-05-10,46
cs,-0.5303227464855947,-0.08268539847325054,-0.30650407247942263,True,0.11190933700308604,2020-05-02,47
pl,0.05120838758896856,0.41675696396375866,0.2339826757763636,True,0.09138714409369753,2020-05-10,47
ru,-0.11461290554311333,0.08866693283296191,-0.01297298635507571,False,0.05081995959401881,2020-05-16,47
uk,-0.22405697435934221,0.2642237754137331,0.020083400527195427,False,0.12207018744326882,2020-05-11,47
cs,-0.5454144484073852,-0.10842783736475056,-0.3269211428860679,True,0.10924665276065866,2020-05-03,48
pl,0.07797178222866874,0.4209130376239496,0.24944240992630917,True,0.08573531384882022,2020-05-11,48
ru,-0.13228501867923825,0.0748291889386762,-0.028727914870281035,False,0.051778551904478616,2020-05-17,48
uk,-0.25117396233413086,0.2521280728659116,0.0004770552658903693,False,0.12582550880001062,2020-05-12,48
cs,-0.5575310354578702,-0.12168482648918796,-0.3396079309735291,True,0.10896155224217056,2020-05-04,49
pl,0.08177291281163962,0.42556006579809164,0.2536664893048656,True,0.085946788246613,2020-05-12,49
ru,-0.10220153703859641,0.0893710771994462,-0.006415229919575105,False,0.047893153559510654,2020-05-18,49
uk,-0.24932722828389697,0.2411155507311914,-0.004105838776352788,False,0.12261069475377209,2020-05-13,49
cs,-0.5173792131035003,-0.03763145349627425,-0.2775053332998873,True,0.11993693990180652,2020-05-05,50
pl,0.08948122827151866,0.4579596671812078,0.2737204477263632,True,0.09211960972742228,2020-05-13,50
ru,-0.12381367375464732,0.05248386974417148,-0.03566490200523792,False,0.0440743858747047,2020-05-19,50
uk,-0.32397892009341833,0.17051322252288761,-0.07673284878526537,False,0.1236230356540765,2020-05-14,50
cs,-0.4715639474664216,0.0667640490182434,-0.2023999492240891,False,0.13458199912116625,2020-05-06,51
pl,0.15347863648359825,0.5707127462733415,0.36209569137846986,True,0.10430852744743581,2020-05-14,51
ru,-0.11771431219115207,0.040137019268551996,-0.038788646461300036,False,0.039462832864926016,2020-05-20,51
uk,-0.4479647065843781,0.11030799388064033,-0.16882835635186888,False,0.1395681751162546,2020-05-15,51
cs,-0.5146534216919285,0.03405428775780095,-0.24029956696706378,False,0.13717692736243237,2020-05-07,52
pl,0.15436289891800528,0.5643746074508247,0.35936875318441497,True,0.10250292713320484,2020-05-15,52
ru,-0.0864107314095003,0.05076276984612506,-0.01782398078168762,False,0.03429337531390634,2020-05-21,52
