lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.2995637507211199,0.0892009420400277,-0.10518140434054611,False,0.0971911731902869,2020-03-11,0
de,-0.07745247993715061,0.09841572061038269,0.010481620336616038,False,0.043967050136883325,2020-03-16,0
en,-0.0768923820235108,0.00879160245845316,-0.03405038978252882,False,0.02142099612049099,2020-03-16,0
fi,-0.1332143147890497,0.01376685653649385,-0.059723729126277915,False,0.03674529283138588,2020-03-16,0
fr,-0.05367860078319746,0.08839361112680254,0.01735750517180254,False,0.0355180529775,2020-03-16,0
it,0.01493072794690016,0.1470904263747596,0.08101057716082989,True,0.033039924606964866,2020-03-11,0
ja,-0.16207644963584858,0.053600336819669546,-0.05423805640808952,False,0.05391919661387953,2020-03-31,0
ko,-0.006545488917127737,0.12156905276701903,0.057511781924945646,False,0.03202863542103669,2020-02-25,0
nl,-0.08774944773141675,0.1450486414005322,0.028649596834557714,False,0.058199522282987234,2020-03-16,0
no,-0.2170441237038654,0.09388124697598732,-0.06158143836393904,False,0.07773134266996318,2020-03-11,0
sr,-0.45018359303801553,0.5137729980167435,0.03179470248936399,False,0.24098914776368976,2020-03-16,0
sv,-0.2149236449912813,-0.008592730368944215,-0.11175818768011275,True,0.05158272865558427,2020-03-11,0
da,-0.2782027330863593,0.09385606748736575,-0.09217333279949677,False,0.09301470014343126,2020-03-12,1
de,-0.03284034272115205,0.11300557546621198,0.04008261637252997,False,0.03646147954684101,2020-03-17,1
en,-0.07564437494408839,0.012497736202611257,-0.03157331937073857,False,0.022035527786674912,2020-03-17,1
fi,-0.11731070318584055,0.03269342467087965,-0.042308639257480456,False,0.03750103196418005,2020-03-17,1
fr,-0.02114636687465514,0.11148044619680884,0.04516703966107685,False,0.033156703267865996,2020-03-17,1
it,0.026592407228852533,0.1613118092332136,0.09395210823103306,True,0.033679850501090264,2020-03-12,1
ja,-0.12972862880963287,0.07281855180228312,-0.028455038503674868,False,0.050636795152978996,2020-04-01,1
ko,-0.012695539673066511,0.15011243475734154,0.06870844754213751,False,0.04070199360760201,2020-02-26,1
nl,-0.06009700147743477,0.15230389179620443,0.04610344515938483,False,0.0531002233184098,2020-03-17,1
no,-0.1804889014198288,0.12502913748823455,-0.02772988196579712,False,0.07637950972701583,2020-03-12,1
sr,-0.3978033262577949,0.5322454528737508,0.06722106330797792,False,0.23251219478288643,2020-03-17,1
sv,-0.20183082756486673,0.009345305918009444,-0.09624276082342864,False,0.05279403337071904,2020-03-12,1
da,-0.22322869932548114,0.14903345393616277,-0.037097622694659195,False,0.09306553831541098,2020-03-13,2
de,0.0075120312314755355,0.12864114268331917,0.06807658695739735,True,0.030282277862960907,2020-03-18,2
en,-0.06695461464220848,0.018865147372813078,-0.024044733634697703,False,0.02145494050375539,2020-03-18,2
fi,-0.11825383439443773,0.09521442115801029,-0.011519706618213724,False,0.05336706388811201,2020-03-18,2
fr,0.00042105092434088776,0.12615442435315302,0.06328773763874695,True,0.031433343357203034,2020-03-18,2
it,0.050290668362517915,0.17466434781602688,0.1124775080892724,True,0.031093419863377242,2020-03-13,2
ja,-0.11889378178085766,0.08690007567883035,-0.015996853051013664,False,0.051448464364922,2020-04-02,2
ko,0.03282386211871165,0.2194623802203774,0.12614312116954451,True,0.046659629525416434,2020-02-27,2
nl,-0.04241869848531325,0.1723198999837795,0.06495060074923312,False,0.053684649617273185,2020-03-18,2
no,-0.12459600512132885,0.1307661653354089,0.0030850801070400405,False,0.06384054261418444,2020-03-13,2
sr,-0.30100959082447365,0.6021314773971291,0.15056094328632774,False,0.2257852670554007,2020-03-18,2
sv,-0.17503349919988642,0.046461286722140324,-0.06428610623887306,False,0.05537369648050669,2020-03-13,2
da,-0.32293338049779774,0.9403941517948408,0.3087303856485215,False,0.3158318830731596,2020-03-14,3
de,0.017897927764635155,0.1366779789315848,0.07728795334810998,True,0.02969501279173741,2020-03-19,3
en,-0.04862551329293302,0.029053859533553494,-0.009785826879689763,False,0.01941984320662163,2020-03-19,3
fi,-0.08389535915858103,0.10876104556943587,0.012432843205427424,False,0.048164101182004225,2020-03-19,3
fr,0.015611154379655344,0.13214330204800154,0.07387722821382844,True,0.02913303691708655,2020-03-19,3
it,0.05205770824771258,0.17859676089791007,0.11532723457281133,True,0.03163476316254937,2020-03-14,3
ja,-0.10892174458879803,0.10698097945074606,-0.0009703825690259849,False,0.05397568100988602,2020-04-03,3
ko,0.06277112171313885,0.2448624603535795,0.15381679103335918,True,0.045522834660110166,2020-02-28,3
nl,-0.08402068169963404,0.1531369249085467,0.034558121604456316,False,0.05928940165204518,2020-03-19,3
