lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.32202021500943667,0.06887820788471857,-0.12657100356235906,False,0.09772460572353882,2020-03-11,0
de,-0.1482285259629743,0.015084545961133747,-0.06657199000092029,False,0.04082826798102702,2020-03-16,0
en,-0.10466115638196025,-0.01762512698596655,-0.0611431416839634,True,0.021759007348998424,2020-03-16,0
fi,-0.13897644865643882,0.0075578686706438275,-0.06570928999289749,False,0.03663357933177066,2020-03-16,0
fr,-0.07484923351030322,0.07455279876053007,-0.00014821737488657227,False,0.03735050806770832,2020-03-16,0
it,0.011110467781532615,0.14557077715752914,0.07834062246953089,True,0.033615077343999135,2020-03-11,0
ja,-0.16089680638855838,0.055942836883272035,-0.052476984752643174,False,0.054209910817957604,2020-03-31,0
ko,-0.006931817197061263,0.12029012366347025,0.05667915323320449,False,0.03180548521513288,2020-02-25,0
nl,-0.10038558445243544,0.13509017818891728,0.017352296868240913,False,0.058868940660338175,2020-03-16,0
no,-0.22874124317358255,0.08876812510860307,-0.06998655903248974,False,0.0793773420705464,2020-03-11,0
sr,-0.44970300519541706,0.5142374742479451,0.03226723452626401,False,0.24098511986084054,2020-03-16,0
sv,-0.21887065148155505,-0.011126138495166193,-0.11499839498836062,True,0.05193612824659721,2020-03-11,0
da,-0.30018271196510765,0.07734545986214825,-0.1114186260514797,False,0.09438204295681397,2020-03-12,1
de,-0.0995278871107956,0.032784076008267216,-0.033371905551264194,False,0.033077990779765705,2020-03-17,1
en,-0.10305640007000574,-0.0131397765223411,-0.05809808829617342,True,0.02247915588691616,2020-03-17,1
fi,-0.12276106547341595,0.025879698049471517,-0.048440683711972216,False,0.037160190880721866,2020-03-17,1
fr,-0.03970806185412945,0.09857038818472275,0.029431163165296648,False,0.03456961250971305,2020-03-17,1
it,0.023187762281777505,0.1604168457275616,0.09180230400466954,True,0.03430727086144602,2020-03-12,1
ja,-0.12846450930328862,0.07522119295249677,-0.026621658175395926,False,0.05092142556394635,2020-04-01,1
ko,-0.012705490356319155,0.1497133044107227,0.06850390702720177,False,0.04060469869176046,2020-02-26,1
nl,-0.07420016402277292,0.14215778794885536,0.03397881196304123,False,0.054089487992907075,2020-03-17,1
no,-0.19147008969051688,0.12087340775033745,-0.035298340970089714,False,0.07808587436021358,2020-03-12,1
sr,-0.39746794527227125,0.5324823840687041,0.06750721939821638,False,0.23248758233524383,2020-03-17,1
sv,-0.20643527533680198,0.005942634917807527,-0.10024632020949722,False,0.053094477563652376,2020-03-12,1
da,-0.2424694456674741,0.1369619767893178,-0.05275373443907816,False,0.09485785561419798,2020-03-13,2
de,-0.06001949847572884,0.05100115734208487,-0.004509170566821985,False,0.02775516395445343,2020-03-18,2
en,-0.09410203348471073,-0.006573584141285907,-0.05033780881299832,True,0.021882112335856206,2020-03-18,2
fi,-0.12583864583558246,0.09157208400984775,-0.017133280912867366,False,0.054352682461357556,2020-03-18,2
fr,-0.018902667902481615,0.11420683822207055,0.047652085159794466,False,0.03327737653113804,2020-03-18,2
it,0.049151379465794315,0.17459714458666606,0.11187426202623019,True,0.031361441280217936,2020-03-13,2
ja,-0.11716402420076613,0.09019064959429926,-0.013486687303233436,False,0.05183866844876635,2020-04-02,2
