lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.1749344033686671,0.5064952078352909,0.16578040223331186,False,0.1703574028009895,2020-03-11,0
de,0.0018955624075537025,0.12513189839626235,0.06351373040190803,True,0.03080908399717716,2020-03-16,0
en,-0.028891281703350452,0.04676846575334595,0.008938592024997749,False,0.0189149368641741,2020-03-16,0
fi,-0.08261837880407921,0.0702264419274797,-0.006195968438299754,False,0.03821120518288973,2020-03-16,0
fr,0.006857104282197858,0.11920130373932372,0.06302920401076079,True,0.028086049864281464,2020-03-16,0
it,0.0627641730599244,0.1701209580478815,0.11644256555390295,True,0.02683919624698927,2020-03-11,0
ja,-0.09722781463465027,0.06279674897651508,-0.017215532829067598,False,0.04000614090279134,2020-03-31,0
ko,0.07298578079759091,0.226901741550004,0.14994376117379746,True,0.038478990188103274,2020-02-25,0
nl,-0.06933975602408868,0.11392840238652716,0.02229432318121924,False,0.04581703960265396,2020-03-16,0
no,-0.15265011854095362,0.06718199271774662,-0.042734062911603504,False,0.05495802781467506,2020-03-11,0
sr,-0.04268914602992091,0.692055138041176,0.32468299600562756,False,0.18368607101777423,2020-03-16,0
sv,-0.10709583466035401,0.08215168149021047,-0.012472076585071767,False,0.04731187903764112,2020-03-11,0
da,-0.1483943122856023,0.541549314106303,0.19657750091035037,False,0.17248590659797633,2020-03-12,1
de,0.0375963981374941,0.15907802973795487,0.09833721393772449,True,0.030370407900115193,2020-03-17,1
en,-0.023535361623453703,0.05449470675187767,0.015479672564211983,False,0.019507517093832843,2020-03-17,1
fi,-0.09534910893081974,0.060082219935742615,-0.017633444497538564,False,0.03885783221664059,2020-03-17,1
fr,0.029703738457260855,0.13370384735102486,0.08170379290414286,True,0.026000027223441,2020-03-17,1
it,0.06622462847195038,0.1714636544125897,0.11884414144227004,True,0.026309756485159833,2020-03-12,1
ja,-0.07489705936807246,0.07850859163062886,0.001805766131278197,False,0.03835141274967533,2020-04-01,1
ko,0.07668479740274718,0.24515904581518438,0.1609219216089658,True,0.042118562103109304,2020-02-26,1
nl,-0.050220661951401874,0.12422696877861103,0.03700315341360458,False,0.043611907682503226,2020-03-17,1
no,-0.12705525634752585,0.09756339231564624,-0.014745932015939794,False,0.05615466216579302,2020-03-12,1
sr,-0.026813244903253097,0.7006631389152459,0.3369249470059964,False,0.18186909595462475,2020-03-17,1
sv,-0.09405917438489526,0.09655915966608604,0.0012499926405953876,False,0.047654583512745326,2020-03-12,1
da,-0.11061265469997386,0.5846884177117817,0.2370378815059039,False,0.17382526810293888,2020-03-13,2
de,0.06515763537224367,0.17914186911262275,0.12214975224243321,True,0.028496058435094767,2020-03-18,2
en,-0.014982570574264178,0.06304793660287168,0.024032683014303752,False,0.019507626794283965,2020-03-18,2
fi,-0.08143380434262408,0.07760114218313328,-0.001916331079745398,False,0.03975873663143934,2020-03-18,2
fr,0.04761547852812941,0.15318296432652045,0.10039922142732494,True,0.026391871449597763,2020-03-18,2
it,0.07854856788728248,0.18114932735965938,0.12984894762347093,True,0.025650189868094225,2020-03-13,2
ja,-0.07012138152880114,0.08347684558968381,0.006677732030441336,False,0.03839955677962124,2020-04-02,2
ko,0.09817238106641413,0.2627728277626409,0.1804726044145275,True,0.04115011167405669,2020-02-27,2
nl,-0.028277130749264384,0.1420325164614951,0.05687769285611535,False,0.04257741180268987,2020-03-18,2
no,-0.0933211643545714,0.12083641524730278,0.01375762544636569,False,0.053539394900468544,2020-03-13,2
sr,0.03260433950333691,0.7548849165460827,0.3937446280247098,True,0.18057014426068643,2020-03-18,2
sv,-0.08089793221349824,0.10546867677301021,0.012285372279755985,False,0.04659165224662711,2020-03-13,2
da,-0.0630042814425914,0.6295870416428411,0.28329138010012483,False,0.17314783077135812,2020-03-14,3
de,0.0767274506732521,0.18944103791367406,0.13308424429346308,True,0.028178396810105488,2020-03-19,3
en,-0.003623866041933918,0.07246221634350962,0.03441917515078785,False,0.019021520596360884,2020-03-19,3
fi,-0.06593423759913646,0.08639456939292504,0.010230165896894294,False,0.038082201748015375,2020-03-19,3
fr,0.06009797686117405,0.16128520393959475,0.1106915904003844,True,0.025296806769605173,2020-03-19,3
it,0.08870288647622482,0.1898859647272651,0.13929442560174496,True,0.025295769562760074,2020-03-14,3
ja,-0.054710096196560074,0.10014348647247771,0.02271669513795882,False,0.03871339566725945,2020-04-03,3
ko,0.12217703014971187,0.2838789342125044,0.20302798218110812,True,0.040425476015698125,2020-02-28,3
nl,-0.03376063683181299,0.1382002872898477,0.05221982522901736,False,0.042990231030415174,2020-03-19,3
no,-0.08402844833467704,0.135495845750766,0.025733698708044483,False,0.05488107352136076,2020-03-14,3
sr,0.20037139302385537,0.840204339892582,0.5202878664582187,True,0.15995823671718165,2020-03-19,3
sv,-0.04804665240368103,0.1247280943547788,0.038340720975548886,False,0.04319368668961496,2020-03-14,3
da,-0.027893043302748777,0.653262854445614,0.31268490557143264,False,0.1702889744370907,2020-03-15,4
de,0.09505541657428321,0.20466028014739576,0.14985784836083949,True,0.02740121589327814,2020-03-20,4
en,0.004472004910682038,0.07924223499984248,0.041857119955262256,True,0.01869255752229011,2020-03-20,4
fi,-0.08296605436026233,0.07290035369448139,-0.005032850332890471,False,0.03896660201368593,2020-03-20,4
fr,0.07320568732725385,0.1705332371440601,0.12186946223565698,True,0.024331887454201565,2020-03-20,4
it,0.09613892225035235,0.19296079147956108,0.14454985686495672,True,0.024205467307302185,2020-03-15,4
ja,-0.03931033692051292,0.11435535264936483,0.03752250786442596,False,0.03841642239246944,2020-04-04,4
ko,0.14394400805882723,0.29473010254732457,0.2193370553030759,True,0.03769652362212434,2020-02-29,4
nl,-0.03122483343749527,0.1407258955638765,0.05475053106319061,False,0.04298768225034294,2020-03-20,4
no,-0.06861402874371758,0.1496397429294607,0.04051285709287156,False,0.05456344291829457,2020-03-15,4
sr,0.23465758005928017,0.8759835291343613,0.5553205545968207,True,0.16033148726877028,2020-03-20,4
sv,-0.011937556935094656,0.16086833042969892,0.07446538674730213,False,0.043201471841198394,2020-03-15,4
da,-0.02146127883023513,0.6550853524312208,0.3168120368004928,False,0.16913665781536397,2020-03-16,5
de,0.09416771026725437,0.20259116946474906,0.14837943986600172,True,0.02710586479937367,2020-03-21,5
en,0.011802696368922408,0.08373906950627462,0.04777088293759851,True,0.017984093284338053,2020-03-21,5
fi,-0.07656416677772286,0.08413886340549397,0.0037873483138855524,False,0.04017575754580421,2020-03-21,5
fr,0.0798693120774301,0.1711009732981828,0.12548514268780644,True,0.02280791530518817,2020-03-21,5
it,0.09386652739307665,0.18957481532848647,0.14172067136078156,True,0.02392707198385246,2020-03-16,5
ja,-0.03572794247881306,0.11470123537951626,0.039486646450351603,False,0.03760729446458233,2020-04-05,5
ko,0.1348484777386581,0.28779004625251,0.21131926199558404,True,0.03823539212846296,2020-03-01,5
nl,-0.030110696837388706,0.14360754007207438,0.05674842161734284,False,0.04342955922736577,2020-03-21,5
no,-0.058775725875492346,0.1520004463011158,0.04661236021281173,False,0.05269404304415204,2020-03-16,5
sr,0.2843202549608859,0.9241991194598684,0.6042596872103771,True,0.15996971612474561,2020-03-21,5
sv,0.012001321049382285,0.1814356189709544,0.09671847001016834,True,0.04235857448039303,2020-03-16,5
da,-0.0003877800090478778,0.6753365168777006,0.3374743684343264,False,0.16893107422168713,2020-03-17,6
de,0.09231359509293523,0.19832338789871057,0.1453184914958229,True,0.02650244820144384,2020-03-22,6
en,0.022084030922284954,0.08970628114234513,0.05589515603231504,True,0.016905562555015043,2020-03-22,6
fi,-0.08218937923931681,0.07883297177739514,-0.0016782037309608366,False,0.040255587754177986,2020-03-22,6
fr,0.0882039183327904,0.18222208405082013,0.13521300119180527,True,0.023504541429507437,2020-03-22,6
it,0.10158191379362862,0.19813088980980542,0.14985640180171703,True,0.024137244004044205,2020-03-17,6
ja,-0.023844375033433035,0.12862498160317234,0.052390303284869655,False,0.038117339159151345,2020-04-06,6
ko,0.14598322080579734,0.29487169683126824,0.2204274588185328,True,0.037222119006367724,2020-03-02,6
nl,-0.04235346654788899,0.13399068471443967,0.04581860908327534,False,0.044086037815582166,2020-03-22,6
no,-0.0642792828227862,0.13641940850104908,0.036070062839131445,False,0.05017467283095882,2020-03-17,6
sr,0.32285210392951014,0.9668138773798928,0.6448329906547015,True,0.16099044336259566,2020-03-22,6
sv,0.014039989537165815,0.18796371899405298,0.1010018542656094,True,0.04348093236422179,2020-03-17,6
da,0.02183057450810172,0.6927010881388731,0.35726583132348744,True,0.16771762840769286,2020-03-18,7
de,0.10062240616436036,0.2066316377004061,0.15362702193238323,True,0.026502307884011436,2020-03-23,7
en,0.02019332122474754,0.09054438056214603,0.055368850893446786,True,0.017587764834349623,2020-03-23,7
fi,-0.08219972940360482,0.07534608475995092,-0.00342682232182695,False,0.03938645354088893,2020-03-23,7
fr,0.09044896069134686,0.18774189351412182,0.13909542710273434,True,0.02432323320569374,2020-03-23,7
it,0.11477739234640702,0.21072207564443055,0.16274973399541878,True,0.02398617082450588,2020-03-18,7
ja,-0.016745856872753886,0.13622374172884177,0.05973894242804395,False,0.03824239965039892,2020-04-07,7
ko,0.14988077969228325,0.29983394539900776,0.2248573625456455,True,0.03748829142668112,2020-03-03,7
nl,-0.034580269294508706,0.13966508903054203,0.05254240986801667,False,0.04356133958126269,2020-03-23,7
no,-0.03577831611663587,0.15036942140924284,0.05729555264630348,False,0.04653693438146968,2020-03-18,7
sr,0.37110585067812457,1.0083648144587898,0.6897353325684572,True,0.15931474094516632,2020-03-23,7
sv,0.028832547697886873,0.20068615965027495,0.11475935367408091,True,0.04296340298809702,2020-03-18,7
da,0.02529193059239776,0.7000769094127716,0.36268442000258466,True,0.16869624470509345,2020-03-19,8
de,0.10206859348182619,0.2114466293992852,0.1567576114405557,True,0.027344508979364752,2020-03-24,8
en,0.02570699812855179,0.0962729633576084,0.0609899807430801,True,0.017641491307264154,2020-03-24,8
fi,-0.09508540242506482,0.0672515569719644,-0.013916922726550207,False,0.040584239849257304,2020-03-24,8
fr,0.10122415640092608,0.20136518093893424,0.15129466866993016,True,0.025035256134502044,2020-03-24,8
it,0.12344147444662856,0.22059849609750332,0.17201998527206594,True,0.024289255412718688,2020-03-19,8
ja,0.00037713782468139223,0.14881062364079678,0.07459388073273909,True,0.03710837145402885,2020-04-08,8
ko,0.1480300633434533,0.295501027015959,0.22176554517970615,True,0.036867740918126425,2020-03-04,8
nl,-0.04122508135650656,0.14317098483307383,0.050972951738283645,False,0.0460990165473951,2020-03-24,8
no,-0.06010909219174766,0.13280401041656886,0.03634745911241061,False,0.048228275652079135,2020-03-19,8
sr,0.36543373290749803,1.0053140403149206,0.6853738866112093,True,0.15997007685185566,2020-03-24,8
