lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.11908232671469621,1.1128111703585994,0.49686442182195156,False,0.3079733742683239,2020-03-18,0
de,0.029063909280626105,0.16690045879439327,0.09798218403750969,True,0.03445913737844179,2020-03-23,0
en,0.01194330413892019,0.10248949513422068,0.057216399636570436,True,0.022636547748825123,2020-03-23,0
fi,-0.032115407756046946,0.17334620232636866,0.07061539728516086,False,0.051365402520603905,2020-03-23,0
fr,0.055866962571815316,0.16641440684073497,0.11114068470627514,True,0.02763686106722991,2020-03-23,0
it,0.07599362758957039,0.1779435504191883,0.12696858900437935,True,0.025487480707404482,2020-03-18,0
ja,-0.057137228421683214,0.12671431466878957,0.03478854312355317,False,0.045962885772618194,2020-04-07,0
ko,0.11016589390587403,0.31167270200667363,0.21091929795627384,True,0.05037670202519991,2020-03-03,0
nl,-0.1203281399827741,0.12016374322640096,-8.219837818657094e-05,False,0.060122970802293764,2020-03-23,0
no,-0.11234270105511739,0.12022147272189947,0.00393938583339104,False,0.05814104344425421,2020-03-18,0
sr,0.16941754792367336,0.7458792863504283,0.45764841713705084,True,0.14411543460668874,2020-03-23,0
sv,0.010815725819016728,0.23388418243035808,0.12234995412468741,True,0.05576711415283534,2020-03-18,0
da,-0.08003301585281164,1.1709341111226998,0.5454505476349442,False,0.3127417817438779,2020-03-19,1
de,0.05902566768314123,0.21537225186890308,0.13719895977602214,True,0.03908664604644046,2020-03-24,1
en,0.021836301203670375,0.11380667940271709,0.06782149030319373,True,0.02299259454976168,2020-03-24,1
fi,-0.08205080202550245,0.1422970099225192,0.030123103948508367,False,0.05608695298700541,2020-03-24,1
fr,0.06584273251295858,0.1755179234946237,0.12068032800379114,True,0.027418797745416282,2020-03-24,1
it,0.06606118530703745,0.1714590413276573,0.11876011331734737,True,0.02634946400515496,2020-03-19,1
ja,-0.04369531671153559,0.13779156299116935,0.04704812313981688,False,0.045371719925676235,2020-04-08,1
ko,0.11576144467684038,0.3275964617419712,0.22167895320940578,True,0.0529587542662827,2020-03-04,1
nl,-0.10798261853704094,0.131745846060485,0.011881613761722032,False,0.05993211614938149,2020-03-24,1
no,-0.09992227143666363,0.15205045388983038,0.026064091226583375,False,0.0629931813316235,2020-03-19,1
sr,0.17840011650771254,0.7503319283746148,0.46436602244116365,True,0.14298295296672556,2020-03-24,1
sv,0.022688469940016096,0.2458688614987205,0.1342786657193683,True,0.055795097889676105,2020-03-19,1
da,-0.06249338221285394,1.2050845796553593,0.5712955987212527,False,0.3168944904670533,2020-03-20,2
de,0.07963914293156629,0.23391171745593783,0.15677543019375206,True,0.038568143631092885,2020-03-25,2
en,0.034501189882719656,0.12029666105191672,0.07739892546731819,True,0.021448867792299268,2020-03-25,2
fi,-0.0701820464599221,0.13171884274952572,0.030768398144801812,False,0.050475222302361955,2020-03-25,2
fr,0.08099188559486528,0.1989090885500364,0.13995048707245084,True,0.02947930073879278,2020-03-25,2
it,0.06388679595774413,0.18053506935158273,0.12221093265466343,True,0.029162068348459653,2020-03-20,2
ja,-0.0473966787652592,0.13606441773630296,0.04433386948552187,False,0.045865274125390536,2020-04-09,2
ko,0.10228175248392339,0.3044095379023655,0.20334564519314446,True,0.05053194635461054,2020-03-05,2
nl,-0.08006239948094958,0.14562947359472994,0.03278353705689019,False,0.05642296826891988,2020-03-25,2
no,-0.06804779498839698,0.17256028314513172,0.052256244078367375,False,0.06015201953338218,2020-03-20,2
sr,0.2224068269562517,0.7983638817126778,0.5103853543344647,True,0.14398926368910653,2020-03-25,2
sv,0.015480238807650884,0.23330530201849015,0.12439277041307051,True,0.05445626580270981,2020-03-20,2
da,0.11407103727886608,0.5218781378541659,0.317974587566516,True,0.10195177514382495,2020-03-21,3
