lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.6222015756427114,-0.25592997927819383,-0.4390657774604526,True,0.0915678990911294,2020-03-04,0
de,-0.029957915037864442,0.0837417710311395,0.026891927996637532,False,0.028424921517250987,2020-03-09,0
en,-0.01919755936450051,0.04847818249164814,0.014640311563573816,False,0.016918935464037162,2020-03-09,0
fi,-0.150303879427724,0.04571155563200417,-0.052296161897859905,False,0.04900385876493204,2020-03-09,0
fr,-0.13637938352929385,-0.020839519282720258,-0.07860945140600706,True,0.0288849660616434,2020-03-09,0
it,0.012414816453853408,0.12030678626211781,0.06636080135798561,True,0.0269729924520661,2020-03-04,0
ja,-0.14548615135071016,0.03240450404244363,-0.056540823654133265,False,0.04447266384828845,2020-03-24,0
ko,0.06315054646471656,0.23027416819718077,0.14671235733094867,True,0.04178090543311606,2020-02-18,0
nl,-0.163332339029303,0.06942907681539832,-0.04695163110695233,False,0.05819035396117533,2020-03-09,0
no,-0.16778255240256001,0.07262663657994994,-0.047577957911305035,False,0.06010229724562749,2020-03-04,0
sr,-0.4965230475987664,0.7141702731661991,0.10882361278371633,False,0.3026733301912414,2020-03-09,0
sv,-0.3579212080161026,-0.15432567089600002,-0.2561234394560513,True,0.05089888428002565,2020-03-04,0
da,-0.6142114673681152,-0.2590018845848519,-0.43660667597648356,True,0.08880239569581583,2020-03-05,1
de,-0.05597074448102408,0.05421782214687338,-0.0008764611670753486,False,0.027547141656974364,2020-03-10,1
en,-0.018882254771754398,0.04536044693560512,0.013239096081925361,False,0.01606067542683988,2020-03-10,1
fi,-0.16140536533617164,0.043181188222267214,-0.059112088556952214,False,0.051146638389609714,2020-03-10,1
fr,-0.1402698723050868,-0.027278889814334677,-0.08377438105971075,True,0.028247745622688034,2020-03-10,1
it,0.0035627548402217823,0.11030717416440267,0.056934964502312224,True,0.02668610483104522,2020-03-05,1
ja,-0.19281977566208391,0.009111556409746424,-0.09185410962616875,False,0.050482833017957585,2020-03-25,1
ko,0.075995091741478,0.24266913501518517,0.15933211337833159,True,0.04166851081842679,2020-02-19,1
nl,-0.20293640064865676,0.02048862231398814,-0.09122388916733432,False,0.05585625574066123,2020-03-10,1
no,-0.2007003223783219,0.03481622166446194,-0.08294205035692997,False,0.05887913601069596,2020-03-05,1
sr,-0.5541281133318039,0.7193883051517158,0.0826300959099559,False,0.3183791046208799,2020-03-10,1
sv,-0.34135684330087124,-0.13746137232058842,-0.23940910781072983,True,0.050973867745070706,2020-03-05,1
da,-0.604469818260511,-0.22450859837832945,-0.41448920831942027,True,0.0949903049705454,2020-03-06,2
de,-0.08086313536592629,0.022903774533737403,-0.028979680416094444,False,0.025941727474915924,2020-03-11,2
en,-0.030586214169961615,0.03722792148609806,0.0033208536580682235,False,0.01695353391401492,2020-03-11,2
fi,-0.1681724718109477,0.0428690579698235,-0.0626517069205621,False,0.0527603824451928,2020-03-11,2
fr,-0.13686785130027124,-0.028548470807230324,-0.08270816105375078,True,0.02707984512326023,2020-03-11,2
it,-0.0033559405719505928,0.1030089206297205,0.04982649002888495,False,0.026591215300417772,2020-03-06,2
ja,-0.17908461489847777,0.022984224006196194,-0.07805019544614078,False,0.05051720972616849,2020-03-26,2
ko,0.04206605134599263,0.20774632444873398,0.1249061878973633,True,0.04142006827568533,2020-02-20,2
nl,-0.2080870637504882,-0.00044159478150322673,-0.10426432926599571,True,0.051911367242246244,2020-03-11,2
no,-0.2745930498802339,-0.010353763422748519,-0.14247340665149122,True,0.06605982161437135,2020-03-06,2
sr,-0.6611729687376822,0.6899866058068413,0.01440681853457959,False,0.3377898936361309,2020-03-11,2
sv,-0.32374152446069326,-0.1073066950122826,-0.21552410973648795,True,0.05410870736210267,2020-03-06,2
da,-0.6144748899142924,-0.2405875074550647,-0.4275311986846786,True,0.09347184561480695,2020-03-07,3
de,-0.09517559352615487,0.01763928704066651,-0.038768153242744186,False,0.028203720141705347,2020-03-12,3
en,-0.055263271431965424,0.023607354710315068,-0.01582795836082518,False,0.019717656535570123,2020-03-12,3
fi,-0.19878314202630332,0.015890832489636977,-0.09144615476833318,False,0.05366849362898508,2020-03-12,3
fr,-0.13525551359295002,-0.022911479178747737,-0.07908349638584888,True,0.028086008603550573,2020-03-12,3
it,-0.0018085668958898737,0.10750785083304787,0.052849641968579,False,0.027329104432234436,2020-03-07,3
ja,-0.17708031222343068,0.015119032608684413,-0.08098063980737313,False,0.04804983620802877,2020-03-27,3
ko,0.05042149312782586,0.20637224634447826,0.12839686973615205,True,0.0389876883041631,2020-02-21,3
nl,-0.21141890322694018,0.005031695249811008,-0.10319360398856459,False,0.0541126496191878,2020-03-12,3
no,-0.24226170780494963,0.014565674708877624,-0.113848016548036,False,0.06420684562845681,2020-03-07,3
sr,-0.9590731836741754,0.5348704192350783,-0.21210138221954855,False,0.3734859007273134,2020-03-12,3
sv,-0.3407607546040586,-0.10874856689532893,-0.22475466074969375,True,0.05800304692718241,2020-03-07,3
da,-0.6201517251833223,-0.20613840921552895,-0.4131450671994256,True,0.10350332899194833,2020-03-08,4
de,-0.10280510588562353,0.012205104610013784,-0.04530000063780487,False,0.028752552623909328,2020-03-13,4
en,-0.05543068320495826,0.0239296993006839,-0.01575049195213718,False,0.01984009562641054,2020-03-13,4
fi,-0.19700480309672985,-0.001321148397637542,-0.09916297574718369,True,0.048920913674773074,2020-03-13,4
fr,-0.14424980789725264,-0.042032721795958274,-0.09314126484660545,True,0.02555427152532359,2020-03-13,4
it,-0.0046269337701246235,0.11032293977742663,0.052848003003651,False,0.028737468386887812,2020-03-08,4
ja,-0.1705136151590752,0.020542889856694557,-0.07498536265119032,False,0.04776412625394244,2020-03-28,4
ko,0.025606041079629216,0.19571287341006055,0.11065945724484488,True,0.042526708082607834,2020-02-22,4
nl,-0.18266388759392804,0.03773733398774605,-0.072463276803091,False,0.055100305395418527,2020-03-13,4
no,-0.22370937236140165,0.038781200086153156,-0.09246408613762425,False,0.0656226431118887,2020-03-08,4
sr,-0.9937049966421239,0.45695465554569553,-0.2683751705482142,False,0.36266491304695486,2020-03-13,4
sv,-0.33020053096301455,-0.11156868326755277,-0.22088460711528365,True,0.05465796192386544,2020-03-08,4
da,-0.544617027044235,-0.09760407408570088,-0.32111055056496796,True,0.11175323823963354,2020-03-09,5
de,-0.10600104346959484,0.04981808478637918,-0.028091479341607828,False,0.038954782063993505,2020-03-14,5
en,-0.06713238103968727,0.016035211993238492,-0.025548584523224394,False,0.020791898258231443,2020-03-14,5
fi,-0.19693707738439076,-0.018989240110528535,-0.10796315874745965,True,0.04448695931846556,2020-03-14,5
fr,-0.12015139119571588,-0.014542312185673423,-0.06734685169069465,True,0.026402269752510615,2020-03-14,5
it,0.0056821942608218795,0.12386786449747285,0.06477502937914736,True,0.029546417559162742,2020-03-09,5
ja,-0.1638606972839622,0.051082845804072144,-0.05638892573994503,False,0.053735885772008586,2020-03-29,5
ko,0.06035719581713826,0.21905788569579832,0.1397075407564683,True,0.03967517246966502,2020-02-23,5
nl,-0.127996577929475,0.11699157092198315,-0.005502503503745926,False,0.061247037212864536,2020-03-14,5
no,-0.2053049825461614,0.060477240660859716,-0.07241387094265084,False,0.06644555580175528,2020-03-09,5
sr,-0.9979073658739877,0.4113853777099845,-0.29326099408200157,False,0.35232318589599304,2020-03-14,5
sv,-0.3198842593007222,-0.11603444084165748,-0.21795935007118983,True,0.05096245461476617,2020-03-09,5
da,-0.4974258929893247,-0.08949942179590928,-0.293462657392617,True,0.10198161779835387,2020-03-10,6
de,-0.0774034755056781,0.09659956335247459,0.009598043923398247,False,0.04350075971453817,2020-03-15,6
en,-0.08139871383779423,-4.036800159756826e-06,-0.040701375318976996,True,0.02034866925940862,2020-03-15,6
fi,-0.1888171968048542,-0.013529939222488144,-0.10117356801367117,True,0.04382181439559151,2020-03-15,6
fr,-0.09181639508862852,0.023137385621397354,-0.03433950473361558,False,0.028738445177506466,2020-03-15,6
it,0.014891300993458423,0.13494469871701015,0.07491799985523429,True,0.03001334943088793,2020-03-10,6
ja,-0.17125194138602134,0.051226786916262756,-0.060012577234879294,False,0.055619682075571025,2020-03-30,6
ko,0.03938521157144975,0.19502364435892233,0.11720442796518604,True,0.038909608196868145,2020-02-24,6
nl,-0.10675051865267274,0.1346040521693024,0.013926766758314835,False,0.060338642705493786,2020-03-15,6
no,-0.1661517506767329,0.12454919983882948,-0.020801275418951715,False,0.0726752376288906,2020-03-10,6
sr,-1.0032929358452192,0.3859682956585666,-0.3086623200933263,False,0.34731530787594644,2020-03-15,6
sv,-0.280545114892815,-0.07095926165281374,-0.17575218827281436,True,0.05239646331000031,2020-03-10,6
da,-0.4375973167139155,-0.05677512898177178,-0.24718622284784364,True,0.09520554693303593,2020-03-11,7
de,-0.05644021964145808,0.12032535390542644,0.03194256713198418,False,0.04419139338672113,2020-03-16,7
en,-0.07827050075318383,0.008172083625566276,-0.035049208563808776,False,0.021610646094687526,2020-03-16,7
fi,-0.13866818520207674,0.015559410500366619,-0.061554387350855055,False,0.03855689892561084,2020-03-16,7
fr,-0.0700453650407976,0.0674038503189379,-0.0013207573609298473,False,0.034362303839933876,2020-03-16,7
it,0.021007644618156296,0.15441894135177126,0.08771329298496378,True,0.03335282418340374,2020-03-11,7
ja,-0.17554595925350744,0.045842499188461255,-0.06485173003252309,False,0.055347114610492174,2020-03-31,7
ko,0.05051498854360956,0.18517570461517344,0.1178453465793915,True,0.03366517901789097,2020-02-25,7
nl,-0.1096511373493354,0.13186535412448142,0.011107108387573006,False,0.060379122868454205,2020-03-16,7
no,-0.21516620528189656,0.09601368377215969,-0.05957626075486844,False,0.07779497226351406,2020-03-11,7
sr,-0.5127996987149894,0.4278458791173867,-0.042476909798801366,False,0.23516139445809403,2020-03-16,7
sv,-0.24591036890008,-0.045788264472137796,-0.1458493166861089,True,0.05003052610698555,2020-03-11,7
da,-0.41605400416786736,-0.05230229844570128,-0.23417815130678432,True,0.09093792643054152,2020-03-12,8
de,-0.01191982206489152,0.1350069484006935,0.061543563167900994,False,0.03673169261639626,2020-03-17,8
en,-0.07701200469870727,0.011867728394776775,-0.032572138151965246,False,0.02221993327337101,2020-03-17,8
fi,-0.12269489073609748,0.03441629577200163,-0.04413929748204792,False,0.039277796627024776,2020-03-17,8
fr,-0.037342337838208395,0.0903198920949243,0.026488777128357954,False,0.031915557483283175,2020-03-17,8
it,0.03268110581789922,0.16862854229249563,0.10065482405519743,True,0.033986859118649106,2020-03-12,8
ja,-0.1433780282141741,0.06524060395795094,-0.03906871212811158,False,0.05215465804303126,2020-04-01,8
ko,0.04503812954806445,0.21304589484508835,0.1290420121965764,True,0.04200194132425598,2020-02-26,8
nl,-0.08240007790534443,0.1395219913301764,0.028560956712415986,False,0.055480517308880206,2020-03-17,8
no,-0.17861323345354807,0.12716382474003185,-0.02572470435675811,False,0.07644426454839498,2020-03-12,8
