lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.2981179910347131,0.058843500916898994,-0.11963724505890705,False,0.08924037298790302,2020-03-11,0
de,-0.1033868689044461,-0.023248396232890628,-0.06331763256866836,True,0.020034618167888867,2020-03-16,0
en,-0.10401633113823835,-0.018687006585312325,-0.061351668861775344,True,0.02133233113823151,2020-03-16,0
fi,-0.24113874693500334,-0.02988944794395018,-0.13551409743947676,True,0.05281232474776329,2020-03-16,0
fr,-0.10046016851044251,-0.0029149277842605292,-0.05168754814735152,True,0.024386310181545495,2020-03-16,0
it,-0.06645777997912697,0.05102886064674606,-0.007714459666190457,False,0.02937166015646826,2020-03-11,0
ja,-0.06077498751447555,0.0323460835603277,-0.014214451977073925,False,0.02328026776870081,2020-03-31,0
ko,-0.11636128934239838,0.10583270226405518,-0.0052642935391715995,False,0.05554849790161339,2020-02-25,0
nl,-0.0849966261203339,0.037956397768663386,-0.023520114175835258,False,0.030738255972249322,2020-03-16,0
no,-0.30433569192338655,-0.0815840414739365,-0.19295986669866153,True,0.055687912612362514,2020-03-11,0
sr,-0.2635667954435613,0.06230017564225776,-0.10063330990065178,False,0.08146674277145477,2020-03-16,0
sv,-0.15041797582927124,0.030670241113293716,-0.05987386735798877,False,0.04527205423564124,2020-03-11,0
da,-0.3085065654176943,0.03278080662184882,-0.13786287939792274,False,0.08532184300988578,2020-03-12,1
de,-0.0918667024848012,0.0056631920273957845,-0.0431017552287027,False,0.024382473628049243,2020-03-17,1
en,-0.10057941664696171,-0.012156232544771578,-0.056367824595866645,True,0.022105796025547533,2020-03-17,1
fi,-0.23353127652850086,-0.05174454166417207,-0.14263790909633647,True,0.0454466837160822,2020-03-17,1
fr,-0.07991514646818387,0.03160138053858613,-0.02415688296479887,False,0.0278791317516925,2020-03-17,1
it,-0.051975728975194105,0.06105462942099073,0.004539450222898311,False,0.028257589599046208,2020-03-12,1
ja,-0.054648448773226964,0.041284471009185496,-0.006681988882020734,False,0.023983229945603115,2020-04-01,1
ko,-0.12116423642388399,0.08472712303858496,-0.018218556692649518,False,0.05147283986561724,2020-02-26,1
nl,-0.08086299329441748,0.04752509804020724,-0.01666894762710512,False,0.03209702283365618,2020-03-17,1
no,-0.3311957934802077,-0.10060602179278179,-0.21590090763649475,True,0.05764744292185648,2020-03-12,1
sr,-0.2531081938599067,0.07997881115337849,-0.08656469135326411,False,0.0832717512533213,2020-03-17,1
sv,-0.12035843899898417,0.03529515237907414,-0.042531643309955014,False,0.03891339784451458,2020-03-12,1
da,-0.28741748078942486,0.10046764512997969,-0.09347491782972259,False,0.09697128147985114,2020-03-13,2
de,-0.07385183251423724,0.03985079533072316,-0.01700051859175704,False,0.0284256569612401,2020-03-18,2
en,-0.09651139971653593,-0.0008215644124863891,-0.04866648206451116,True,0.023922458826012384,2020-03-18,2
