lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.21961102805837213,-0.002889020105120349,-0.11125002408174624,True,0.054180501988312944,2020-03-11,0
de,-0.07500352371568922,-0.0012863551079280167,-0.03814493941180862,True,0.0184292921519403,2020-03-16,0
en,-0.08646710833509029,-0.017372222559562542,-0.051919665447326416,True,0.017273721443881937,2020-03-16,0
fi,-0.13578376890564517,-0.003239839795146443,-0.0695118043503958,True,0.03313598227762468,2020-03-16,0
fr,-0.06802141012245821,0.01712740070404281,-0.025447004709207702,False,0.021287202706625256,2020-03-16,0
it,-0.021613044291331193,0.0784347391517606,0.0284108474302147,False,0.025011945860772947,2020-03-11,0
ja,-0.07477087382015404,0.033209149273515676,-0.020780862273319184,False,0.02699500577341743,2020-03-31,0
ko,-0.0809139414655611,0.0853751614262416,0.002230609980340248,False,0.04157227572295068,2020-02-25,0
nl,-0.0437699439241927,0.053229779365608465,0.004729917720707882,False,0.02424993082245029,2020-03-16,0
no,-0.23668279837487932,-0.05927778372190379,-0.14798029104839155,True,0.044351253663243884,2020-03-11,0
sr,-0.2050505790172653,0.00015089197991509373,-0.10244984351867512,False,0.051300367749295105,2020-03-16,0
sv,-0.13784471935073783,-0.008035980394804035,-0.07294034987277093,True,0.032452184738983446,2020-03-11,0
da,-0.217713606244747,-0.007078224534246044,-0.11239591538949652,True,0.05265884542762524,2020-03-12,1
de,-0.05894432775862246,0.028584461287817498,-0.015179933235402482,False,0.02188219726160999,2020-03-17,1
en,-0.08270864595947516,-0.00897192604732533,-0.045840286003400246,True,0.01843417997803746,2020-03-17,1
fi,-0.12939453410412144,-0.010387598663053943,-0.06989106638358769,True,0.029751733860266874,2020-03-17,1
fr,-0.046417992730547704,0.04690982419127852,0.00024591573036540637,False,0.023331954230456555,2020-03-17,1
it,-0.005002788087539997,0.09000644607427861,0.04250182899336931,False,0.023752308540454653,2020-03-12,1
ja,-0.06298628914203261,0.044045595279866186,-0.009470346931083215,False,0.0267579711054747,2020-04-01,1
ko,-0.09358482111080568,0.07102997346111128,-0.0112774238248472,False,0.04115369864297924,2020-02-26,1
nl,-0.03395559222881529,0.06730972759306135,0.01667706768212303,False,0.02531632995546916,2020-03-17,1
no,-0.2529491409967404,-0.08080333190649226,-0.1668762364516163,True,0.043036452272562024,2020-03-12,1
sr,-0.1979182501163015,0.004307491155357723,-0.09680537948047188,False,0.0505564353179148,2020-03-17,1
sv,-0.11858733897368867,-0.012252527945484593,-0.06541993345958663,True,0.02658370275705102,2020-03-12,1
da,-0.19805853182623867,0.05955406290285019,-0.06925223446169425,False,0.06440314868227222,2020-03-13,2
de,-0.035846227615314,0.05929678539491881,0.011725278889802404,False,0.023785753252558203,2020-03-18,2
en,-0.07783319447911657,0.0027556098058409764,-0.0375387923366378,False,0.02014720107123939,2020-03-18,2
fi,-0.126016372895969,0.004016900724584722,-0.06099973608569214,False,0.03250831840513843,2020-03-18,2
fr,-0.02504375454530932,0.0741094297694086,0.024532837612049635,False,0.024788296078679477,2020-03-18,2
it,0.008168863032480086,0.09592271976634432,0.052045791399412206,True,0.02193846418346606,2020-03-13,2
ja,-0.0648269964121225,0.04476140665482804,-0.010032794878647229,False,0.027397100766737636,2020-04-02,2
ko,-0.07617559644361785,0.102424689132082,0.013124546344232074,False,0.04465007139392496,2020-02-27,2
nl,-0.028082786482259876,0.0822357346154668,0.027076474066603462,False,0.02757963027443167,2020-03-18,2
no,-0.251106380024532,-0.08415782254139534,-0.16763210128296369,True,0.041737139370784174,2020-03-13,2
sr,-0.15582418532915746,0.07491414003420399,-0.04045502264747674,False,0.05768458134084036,2020-03-18,2
sv,-0.12294421978097586,-0.013180295364655599,-0.06806225757281573,True,0.027440981104080064,2020-03-13,2
da,-0.1357987042727062,0.09177461705751089,-0.022012043607597655,False,0.056893330332554275,2020-03-14,3
de,-0.027547159479391084,0.0707549783389744,0.021603909429791658,False,0.02457553445459137,2020-03-19,3
en,-0.07541924777638354,0.00948542712637853,-0.032966910325002506,False,0.021226168725690518,2020-03-19,3
fi,-0.09995383728419634,0.017934387826332054,-0.04100972472893214,False,0.029472056277632098,2020-03-19,3
fr,-0.017435350166933275,0.08963236425623636,0.03609850704465154,False,0.026766928605792408,2020-03-19,3
it,0.021941835275844396,0.10245914005784164,0.06220048766684302,True,0.02012932619549931,2020-03-14,3
ja,-0.07167065367827986,0.04434413639520997,-0.01366325864153495,False,0.029003697518372458,2020-04-03,3
ko,-0.05344359091431871,0.14554768031733165,0.04605204470150647,False,0.04974781780791259,2020-02-28,3
nl,-0.04726106687475135,0.06671391620621339,0.009726424665731023,False,0.028493745770241188,2020-03-19,3
no,-0.21639628293853178,-0.05354143317941931,-0.13496885805897554,True,0.040713712439778116,2020-03-14,3
sr,-0.1501021428258948,0.08489631830544497,-0.0326029122602249,False,0.05874961528283494,2020-03-19,3
sv,-0.12144627611492856,-0.010646448851036792,-0.06604636248298268,True,0.027699956815972943,2020-03-14,3
da,-0.06690219818531595,0.11412000759941363,0.023608904707048836,False,0.045255551446182395,2020-03-15,4
de,-0.012149494479215386,0.0819082796768414,0.03487939259881301,False,0.023514443539014197,2020-03-20,4
en,-0.07054899055824415,0.017940851527104305,-0.02630406951556992,False,0.022122460521337112,2020-03-20,4
fi,-0.10710392183046014,0.0029612570958477066,-0.05207133236730621,False,0.02751629473157696,2020-03-20,4
fr,0.001654623732723473,0.10167029594282075,0.05166245983777211,True,0.025003918052524318,2020-03-20,4
it,0.016268818985617203,0.0954767674596671,0.05587279322264215,True,0.019801987118512474,2020-03-15,4
ja,-0.07163152575610968,0.04559161395051597,-0.013019955902796851,False,0.02930578492665641,2020-04-04,4
ko,-0.052655170519084554,0.12679986316254713,0.037072346321731287,False,0.04486375842040792,2020-02-29,4
nl,-0.03967859669073361,0.07358576200446149,0.016953582656863933,False,0.028316089673798773,2020-03-20,4
no,-0.1948085838117638,-0.034660332970339894,-0.11473445839105186,True,0.04003706271035598,2020-03-15,4
sr,-0.07709528527574766,0.16989743160910978,0.04640107316668106,False,0.06174817922121436,2020-03-20,4
sv,-0.12347023516371317,-0.01731721722356469,-0.07039372619363893,True,0.02653825448503712,2020-03-15,4
da,-0.0857432176250375,0.08797409048811577,0.0011154364315391378,False,0.04342932702828832,2020-03-16,5
de,0.0038587588950891732,0.08903537730645235,0.04644706810077076,True,0.021294154602840794,2020-03-21,5
en,-0.06125973830724281,0.02819503983944374,-0.016532349233899537,False,0.022363694536671638,2020-03-21,5
fi,-0.1176459207025565,-0.003672534996393445,-0.06065922784947497,True,0.028493346426540764,2020-03-21,5
fr,0.00841808312747453,0.10296547980568718,0.05569178146658085,True,0.02363684916955316,2020-03-21,5
it,0.018788836607641156,0.09508815006586419,0.05693849333675267,True,0.019074828364555756,2020-03-16,5
ja,-0.07084299229185893,0.039433608967219966,-0.015704691662319487,False,0.027569150314769725,2020-04-05,5
ko,-0.02100068728480206,0.1462308954936471,0.06261510410442252,False,0.04180789569461229,2020-03-01,5
nl,-0.0364168080202152,0.06631340678173994,0.014948299380762368,False,0.025682553700488785,2020-03-21,5
no,-0.20055090722796945,-0.02779369765853798,-0.11417230244325371,True,0.04318930239235787,2020-03-16,5
sr,-0.022572627840432832,0.20023792130423584,0.0888326467319015,False,0.055702637286167166,2020-03-21,5
sv,-0.13112717757694853,-0.029167288526224334,-0.08014723305158643,True,0.025489972262681047,2020-03-16,5
da,-0.058862540663534656,0.12924926252570307,0.03519336093108421,False,0.04702795079730943,2020-03-17,6
de,0.013975285161800848,0.09978377742938738,0.05687953129559411,True,0.02145212306689663,2020-03-22,6
en,-0.047144588889487374,0.035943164650254156,-0.005600712119616609,False,0.020771938384935382,2020-03-22,6
fi,-0.11752412751783342,0.008684004471674327,-0.05442006152307955,False,0.03155203299737694,2020-03-22,6
fr,0.017356311769660078,0.10458370787637009,0.06097000982301508,True,0.0218068490266775,2020-03-22,6
it,0.03188874030415017,0.12566048031670995,0.07877461031043007,True,0.023442935003139948,2020-03-17,6
ja,-0.06021452945784686,0.03603013045908662,-0.012092199499380119,False,0.02406116497923337,2020-04-06,6
ko,-0.0008227744570508261,0.1503964240053703,0.07478682477415974,False,0.03780479961560528,2020-03-02,6
nl,-0.021751303651796595,0.07084835239778961,0.024548524372996504,False,0.02314991401239655,2020-03-22,6
no,-0.19527119171753898,-0.016685114478620935,-0.10597815309807995,True,0.04464651930972951,2020-03-17,6
sr,0.02415364790398873,0.23306085179895164,0.12860724985147018,True,0.052226800973740724,2020-03-22,6
sv,-0.13374022046966708,-0.023664846777135456,-0.07870253362340127,True,0.027518843423132905,2020-03-17,6
da,-0.05082647959487505,0.13985359033589514,0.04451355537051004,False,0.04767001748269255,2020-03-18,7
de,0.030677018443505052,0.12152263627759503,0.07609982736055004,True,0.022711404458522495,2020-03-23,7
en,-0.032092578975954564,0.044099239519916025,0.006003330271980731,False,0.019047954623967647,2020-03-23,7
fi,-0.079273927729445,0.03789902630579016,-0.02068745071182742,False,0.02929323850880879,2020-03-23,7
fr,0.03133228719252847,0.11967238464106347,0.07550233591679598,True,0.022085024362133752,2020-03-23,7
it,0.04447670836239291,0.14774968510215947,0.09611319673227618,True,0.025818244184941636,2020-03-18,7
ja,-0.06264518837029813,0.03621618597463809,-0.01321450119783002,False,0.024715343586234055,2020-04-07,7
ko,0.018737760192761743,0.16382562282722601,0.09128169150999388,True,0.03627196565861607,2020-03-03,7
nl,-0.003145565164171582,0.10743876547402903,0.052146600154928724,False,0.027646082659550153,2020-03-23,7
no,-0.16443317012941694,0.03705992342349103,-0.06368662335296296,False,0.050373273388226995,2020-03-18,7
sr,0.062015380890402885,0.2729424622494984,0.16747892156995065,True,0.05273177033977388,2020-03-23,7
sv,-0.11646147720102967,0.017015623772860526,-0.04972292671408458,False,0.03336927524347255,2020-03-18,7
da,-0.031403834170183775,0.15956617565005543,0.06408117073993583,False,0.0477425024550598,2020-03-19,8
de,0.03931303595444133,0.13515886897390228,0.0872359524641718,True,0.023961458254865238,2020-03-24,8
en,-0.024261893695764633,0.061687030861730247,0.018712568582982807,False,0.02148723113937372,2020-03-24,8
fi,-0.06618215064673541,0.06282887731566777,-0.0016766366655338177,False,0.032252756990600796,2020-03-24,8
fr,0.03593219551325386,0.1260607906569047,0.08099649308507928,True,0.02253214878591271,2020-03-24,8
it,0.04125017174021917,0.15640394700335997,0.09882705937178957,True,0.028788443815785197,2020-03-19,8
ja,-0.047108274583545225,0.053066044619699236,0.0029788850180770057,False,0.025043579800811115,2020-04-08,8
ko,0.0528470471594102,0.2021675829310962,0.1275073150452532,True,0.0373301339429215,2020-03-04,8
nl,0.018508112554166276,0.12479999117593084,0.07165405186504856,True,0.02657296965544114,2020-03-24,8
no,-0.11129695296267841,0.07767371517686433,-0.01681161889290704,False,0.04724266703488569,2020-03-19,8
sr,0.09083159277632906,0.288737954858854,0.18978477381759154,True,0.04947659052063124,2020-03-24,8
sv,-0.11896161630898959,0.021868526881855324,-0.04854654471356713,False,0.03520753579771123,2020-03-19,8
da,-0.04729655620096081,0.13501822815021486,0.04386083597462702,False,0.04557869608779391,2020-03-20,9
de,0.05052097615553916,0.14547054627879022,0.09799576121716469,True,0.023737392530812765,2020-03-25,9
en,-0.01469902138295617,0.077095834827723,0.03119840672238342,False,0.022948714052669794,2020-03-25,9
fi,-0.04798662844637779,0.09119929177379871,0.02160633166371046,False,0.03479648005504413,2020-03-25,9
fr,0.04944348439720117,0.14946545879298978,0.09945447159509548,True,0.025005493598947152,2020-03-25,9
it,0.05658209029782728,0.16837218394222297,0.11247713712002513,True,0.027947523411098928,2020-03-20,9
ja,-0.03166288180820342,0.06923781061363907,0.018787464402717828,False,0.025225173105460623,2020-04-09,9
ko,0.05564548647813154,0.19644118475061606,0.1260433356143738,True,0.03519892456812113,2020-03-05,9
nl,0.03719425594599594,0.13997719638388892,0.08858572616494242,True,0.025695735109473244,2020-03-25,9
no,-0.09853122683418344,0.08991953878072109,-0.004305844026731176,False,0.047112691403726134,2020-03-20,9
sr,0.1133422753484858,0.31891299750513086,0.21612763642680832,True,0.05139268053916126,2020-03-25,9
