lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.3955313559524045,0.14957957968162017,-0.12297588813539216,False,0.13627773390850617,2020-03-11,0
de,-0.11933526714451646,0.14395323783220515,0.01230898534384435,False,0.0658221262441804,2020-03-16,0
en,-0.19815572968539935,-0.02734762168335192,-0.11275167568437564,True,0.04270202700051186,2020-03-16,0
fi,-0.40133506057089774,-0.009391628034564253,-0.205363344302731,True,0.09798585813408338,2020-03-16,0
fr,-0.19381820156118845,0.038521052126138475,-0.07764857471752498,False,0.05808481342183173,2020-03-16,0
it,-0.04909802508346128,0.38139666522994875,0.16614932007324373,False,0.10762367257835251,2020-03-11,0
ja,-0.08921898348466466,0.08630075112763345,-0.0014591161785156015,False,0.04387993365307453,2020-03-31,0
ko,-0.1754558435794214,0.1570105826906668,-0.00922263044437728,False,0.08311660656752205,2020-02-25,0
nl,-0.23108333586034538,0.04085371297684712,-0.09511481144174913,False,0.06798426220929812,2020-03-16,0
no,-0.616515316256603,-0.01887673207146212,-0.3176960241640326,True,0.14940964604628523,2020-03-11,0
sr,-0.2677019595608886,0.5190808028308712,0.1256894216349913,False,0.19669569059793995,2020-03-16,0
sv,-0.5009035219458005,-0.002081736698663572,-0.25149262932223204,True,0.12470544631178423,2020-03-11,0
da,-0.42376999510877955,0.12587159076323418,-0.1489492021727727,False,0.13741039646800343,2020-03-12,1
de,-0.10244550216056153,0.16678920751842802,0.032171852678933244,False,0.06730867741974739,2020-03-17,1
en,-0.1860627500578521,-0.003116969645271528,-0.09458985985156182,True,0.045736445103145146,2020-03-17,1
fi,-0.34613076325420006,0.05322181671666931,-0.14645447326876537,False,0.09983814499271734,2020-03-17,1
fr,-0.16560361264503615,0.06276281270519603,-0.051420399969920066,False,0.05709160633755805,2020-03-17,1
it,-0.03696339927013842,0.39866039480770027,0.18084849776878092,False,0.10890594851945967,2020-03-12,1
ja,-0.08086989760341534,0.09156709839246746,0.00534860039452606,False,0.0431092489989707,2020-04-01,1
ko,-0.13546599540058019,0.21150269871413147,0.03801835165677564,False,0.08674217352867791,2020-02-26,1
nl,-0.2123538287281707,0.0765706990192378,-0.06789156485446646,False,0.07223113193685213,2020-03-17,1
no,-0.5851055811477093,0.0050601891825209355,-0.29002269598259417,False,0.14754144258255755,2020-03-12,1
sr,-0.20871499910611419,0.5662095892886947,0.17874729509129023,False,0.1937311470987022,2020-03-17,1
sv,-0.5029176860671318,-0.04183458628144138,-0.2723761361742866,True,0.1152707749464226,2020-03-12,1
da,-0.3680612410655929,0.18131950799971194,-0.0933708665329405,False,0.13734518726632622,2020-03-13,2
de,-0.0611205623951801,0.20510715523980855,0.07199329642231422,False,0.06655692940874716,2020-03-18,2
en,-0.16757335751954527,0.023167522682171038,-0.07220291741868712,False,0.04768522005042908,2020-03-18,2
fi,-0.30626064826801436,0.12270283033902699,-0.09177890896449367,False,0.10724086965176033,2020-03-18,2
fr,-0.1407487347916815,0.09673991911720661,-0.02200440783723745,False,0.05937216347722203,2020-03-18,2
it,-0.020559702253372086,0.4143569429915067,0.19689862036906733,False,0.10872916131121971,2020-03-13,2
ja,-0.08249111585776822,0.09205886243137515,0.004783873286803464,False,0.04363749457228584,2020-04-02,2
ko,-0.10767047764063911,0.2473029008344738,0.06981621159691734,False,0.08874334461877822,2020-02-27,2
nl,-0.17398622159104873,0.14058683355280246,-0.016699694019123135,False,0.0786432637859628,2020-03-18,2
no,-0.5331602027807407,0.0833178223406735,-0.22492119022003362,False,0.15411950628035356,2020-03-13,2
sr,-0.10553553277943667,0.6782674597624396,0.28636596349150145,False,0.19595074813546906,2020-03-18,2
sv,-0.5118023567666646,-0.051272082279316344,-0.2815372195229905,True,0.11513256862183707,2020-03-13,2
da,-0.3598352027290497,0.19183377426799028,-0.08400071423052971,False,0.13791724424926,2020-03-14,3
de,-0.046320076167838675,0.2249994025912116,0.08933966321168646,False,0.06782986968976257,2020-03-19,3
en,-0.15244796770379543,0.042819884156997265,-0.054814041773399075,False,0.04881696296519817,2020-03-19,3
fi,-0.2731761961056921,0.15097669026837787,-0.06109975291865713,False,0.1060382215935175,2020-03-19,3
fr,-0.11948507716281537,0.12250121710091738,0.0015080699690510069,False,0.06049657356593319,2020-03-19,3
it,-0.0019552573342697666,0.4295369983223961,0.21379087049406317,False,0.10787306391416647,2020-03-14,3
ja,-0.05283848818084627,0.12657348758922357,0.03686749970418865,False,0.04485299394251746,2020-04-03,3
ko,-0.061352988353215954,0.3053444742539651,0.12199574295037457,False,0.09167436565179526,2020-02-28,3
nl,-0.15914935274305253,0.1543506257302668,-0.0023993635063928598,False,0.07837499461832984,2020-03-19,3
no,-0.41787555582628755,0.15109077155953324,-0.13339239213337714,False,0.1422415818464552,2020-03-14,3
sr,-0.10962285323886822,0.6818570793321791,0.28611711304665544,False,0.19786998314276183,2020-03-19,3
sv,-0.49121489372880534,-0.02694644653155287,-0.2590806701301791,True,0.11606711179931312,2020-03-14,3
da,-0.32845147370333844,0.23184661230145456,-0.048302430700941944,False,0.14007452150119826,2020-03-15,4
de,-0.023584546728623423,0.24548571799515234,0.11095058563326446,False,0.06726756618094394,2020-03-20,4
en,-0.1417605270183364,0.054264482989792535,-0.043748022014271935,False,0.049006252502032235,2020-03-20,4
fi,-0.26575366125178457,0.17227745590323784,-0.04673810267427335,False,0.1095077792887556,2020-03-20,4
fr,-0.10150833092949668,0.1384894841422773,0.0184905766063903,False,0.059999453767943495,2020-03-20,4
it,0.012094130722832025,0.4396445418602364,0.2258693362915342,True,0.10688760278435108,2020-03-15,4
ja,-0.05315750946208677,0.13290950745894048,0.03987599899842686,False,0.046516754230256814,2020-04-04,4
ko,-0.06296376164938747,0.3002420548682334,0.11863914660942299,False,0.09080145412940523,2020-02-29,4
nl,-0.11863661183829782,0.19516466616364764,0.0382640271626749,False,0.07845031950048637,2020-03-20,4
no,-0.41961608849908144,0.15597887756613232,-0.13181860546647456,False,0.14389874151630344,2020-03-15,4
sr,-0.07558311357671865,0.6868262493329641,0.3056215678781227,False,0.1906023407274207,2020-03-20,4
sv,-0.5204678757010868,-0.045557310224139974,-0.2830125929626134,True,0.1187276413692367,2020-03-15,4
da,-0.30956862707301447,0.24692443446241708,-0.0313220963052987,False,0.13912326538385789,2020-03-16,5
de,0.02115255009608545,0.26438374875672227,0.14276814942640387,True,0.06080779966515921,2020-03-21,5
en,-0.12751368532780666,0.06742455600975439,-0.030044564659026135,False,0.04873456033439026,2020-03-21,5
fi,-0.2255624310862908,0.20492029096835843,-0.01032107005896618,False,0.1076206805136623,2020-03-21,5
fr,-0.08221513256305042,0.15158129639491558,0.034683081915932584,False,0.0584491072394915,2020-03-21,5
it,-0.00865072063972469,0.42051529048168534,0.2059322849209803,False,0.1072915027803525,2020-03-16,5
ja,-0.04628605625207825,0.14452610972809027,0.049120026738006,False,0.04770304149504213,2020-04-05,5
ko,-0.00810848974286224,0.32464835541882164,0.1582699328379797,False,0.08318921129042096,2020-03-01,5
nl,-0.10706647435308295,0.20417315210739104,0.048553338877154045,False,0.0778099066151185,2020-03-21,5
no,-0.37979011705033017,0.18967108333842855,-0.09505951685595079,False,0.14236530009718967,2020-03-16,5
sr,-0.09517142741036849,0.6822686779694742,0.2935486252795529,False,0.1943600263449607,2020-03-21,5
sv,-0.47196447382940465,0.02244498077726864,-0.224759746526068,False,0.12360236365166832,2020-03-16,5
da,-0.27980133194661116,0.27839687598536267,-0.0007022279806242759,False,0.13954955198299346,2020-03-17,6
de,-0.013682450080877276,0.25367495375817395,0.11999625183864833,False,0.0668393509597628,2020-03-22,6
en,-0.09590464204882701,0.08228165802390866,-0.006811492012459175,False,0.04454657501818392,2020-03-22,6
fi,-0.2287341225570999,0.18240005870560344,-0.023167031925748233,False,0.10278354531567584,2020-03-22,6
fr,-0.08107219512044532,0.15193097368608682,0.035429389282820745,False,0.05825079220163303,2020-03-22,6
it,0.019051151820671464,0.4509463732738177,0.23499876254724458,True,0.10797380536328656,2020-03-17,6
ja,-0.04976290270106226,0.14083890554621026,0.045538001422574,False,0.04765045206181813,2020-04-06,6
ko,-0.022228320466255502,0.3100930817168614,0.14393238062530295,False,0.08308035054577922,2020-03-02,6
nl,-0.08865812298764886,0.21524313950584034,0.06329250825909574,False,0.0759753156233723,2020-03-22,6
no,-0.4120862204978769,0.1434388360625095,-0.1343236922176837,False,0.1388812641400966,2020-03-17,6
sr,-0.13955996524806902,0.6583744930257267,0.25940726388882884,False,0.19948361456844893,2020-03-22,6
sv,-0.46309660760528315,0.04215591205077554,-0.2104703477772538,False,0.12631312991401467,2020-03-17,6
da,-0.2535254297923926,0.31430926972512224,0.03039191996636481,False,0.14195867487937872,2020-03-18,7
de,0.014432289592064523,0.2799093549598506,0.14717082227595757,True,0.06636926634194652,2020-03-23,7
en,-0.07590574311454379,0.09648214707311686,0.010288201979286538,False,0.04309697254691516,2020-03-23,7
fi,-0.2828821508960856,0.13852876134784917,-0.07217669477411823,False,0.1053527280609837,2020-03-23,7
fr,-0.06952886550254604,0.16129299036297273,0.04588206243021334,False,0.05770546396637969,2020-03-23,7
it,0.04830158003512747,0.4813898204292881,0.26484570023220777,True,0.10827206009854015,2020-03-18,7
ja,-0.04811282169114227,0.14524272612564681,0.048564952217252266,False,0.04833888695419727,2020-04-07,7
ko,-0.0044426923599183155,0.3232353487724756,0.15939632820627866,False,0.08191951028309849,2020-03-03,7
nl,-0.0983387659259167,0.2089505011546389,0.0553058676143611,False,0.0768223167701389,2020-03-23,7
no,-0.3963497372047655,0.15140670379101448,-0.12247151670687553,False,0.136939110248945,2020-03-18,7
sr,-0.10908678114895992,0.667018002485303,0.2789656106681715,False,0.1940261959085657,2020-03-23,7
sv,-0.4562862741374163,0.06711729113215292,-0.19458449150263168,False,0.1308508913173923,2020-03-18,7
da,-0.2418379088938215,0.322003581193129,0.040082836149653744,False,0.14096037252173763,2020-03-19,8
de,0.01696054443406464,0.2836834613731098,0.15032200290358722,True,0.06668072923476129,2020-03-24,8
en,-0.0711262552704966,0.10393144048689712,0.01640259260820026,False,0.04376442393934843,2020-03-24,8
fi,-0.22953088948625613,0.21643010619357997,-0.006550391646338083,False,0.11149024891995903,2020-03-24,8
fr,-0.0610513964406148,0.17223683719231686,0.05559272037585103,False,0.058322058408232916,2020-03-24,8
it,0.06707722943048897,0.4986746979688682,0.2828759636996786,True,0.10789936713459482,2020-03-19,8
ja,-0.010423475084222505,0.1692052508188077,0.07939088786729259,False,0.04490718147575755,2020-04-08,8
ko,0.015294627460933963,0.37191042014532366,0.1936025238031288,True,0.08915394817109742,2020-03-04,8
