lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.501263695482661,0.27552397495008524,-0.11286986026628791,False,0.19419691760818658,2020-03-18,0
de,-0.004821031781176155,0.3203656687233835,0.15777231847110368,False,0.08129667512613992,2020-03-23,0
en,-0.11640099233557857,0.09207201904199885,-0.01216448664678986,False,0.05211825284439436,2020-03-23,0
fi,-0.2454769433607571,0.2059569960094461,-0.019759973675655504,False,0.1128584848425508,2020-03-23,0
fr,-0.07752426026256441,0.2017929580936615,0.062134348915548546,False,0.06982930458905648,2020-03-23,0
it,0.02347040118836019,0.7549874306730012,0.3892289159306807,True,0.18287925737116026,2020-03-18,0
ja,-0.1136901234358111,0.13122351730031406,0.008766696932251475,False,0.06122841018403129,2020-04-07,0
ko,-0.025070474872079834,0.3500388557908628,0.1624841904593915,False,0.09377733266573567,2020-03-03,0
nl,-0.11896361994892822,0.24653075183705608,0.06378356594406394,False,0.09137359294649608,2020-03-23,0
no,-0.3642898301698839,0.2760222776089357,-0.044133776280474116,False,0.1600780269447049,2020-03-18,0
sr,-0.08512262213250527,0.8670865355187578,0.39098195669312624,False,0.23805228941281575,2020-03-23,0
sv,-0.7630110960829909,-0.05312209328198381,-0.40806659468248735,True,0.17747225070025177,2020-03-18,0
da,-0.48972715118645366,0.30719260782561114,-0.09126727168042127,False,0.1992299397530162,2020-03-19,1
de,0.002329298197131374,0.3356431075802616,0.16898620288869648,True,0.08332845234578255,2020-03-24,1
en,-0.10232520287036007,0.131843341328258,0.01475906922894897,False,0.05854213604965452,2020-03-24,1
fi,-0.17806733881043724,0.3214546664611532,0.07169366382535798,False,0.12488050131789762,2020-03-24,1
fr,-0.07862634818494994,0.20165058853430162,0.06151212017467585,False,0.0700692341798129,2020-03-24,1
it,0.0009995402643355744,0.7555142747853082,0.3782569075248219,True,0.18862868363024315,2020-03-19,1
ja,-0.08611028586167147,0.13534633814407931,0.024618026141203925,False,0.055364156001437695,2020-04-08,1
ko,0.042818741636287544,0.4382464325893902,0.24053258711283887,True,0.09885692273827566,2020-03-04,1
nl,-0.10735823491196457,0.2674226796227235,0.08003222235537945,False,0.09369522863367201,2020-03-24,1
no,-0.28834413937681397,0.41217461645325265,0.061915238538219355,False,0.17512968895751665,2020-03-19,1
sr,-0.017842625147845292,0.9201067803778588,0.45113207761500673,False,0.234487351381426,2020-03-24,1
sv,-0.7580428643890024,-0.06120296070486486,-0.4096229125469336,True,0.17420997592103438,2020-03-19,1
da,-0.5127378509325314,0.2934933104322698,-0.10962227025013083,False,0.2015577903412003,2020-03-20,2
de,0.032324185560404284,0.35897085705827736,0.19564752130934082,True,0.08166166787446827,2020-03-25,2
en,-0.07596385503302451,0.17260284310807383,0.04831949403752467,False,0.06214167453527459,2020-03-25,2
