lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.4958159327950176,0.09176245851165893,-0.20202673714167935,False,0.14689459782666914,2020-03-04,0
de,-0.2880688879575706,0.10725049731810395,-0.09040919531973331,False,0.09882984631891863,2020-03-09,0
en,-0.16898725167123713,0.07888011052044758,-0.045053570575394775,False,0.061966840547921176,2020-03-09,0
fi,-0.2479037393444151,0.30720213396596185,0.029649197310773395,False,0.13877646832759424,2020-03-09,0
fr,-0.28901763252498763,0.11200592141121772,-0.08850585555688496,False,0.10025588848405134,2020-03-09,0
it,-0.38501670322179427,-0.08160677477253256,-0.2333117389971634,True,0.07585248211231542,2020-03-04,0
ja,-0.1817061766116502,0.07921436030786014,-0.05124590815189503,False,0.06523013422987758,2020-03-24,0
ko,-0.19236910169364205,0.2490799053722285,0.02835540183929322,False,0.11036225176646763,2020-02-18,0
nl,-0.24670956363475469,0.18089633509115735,-0.03290661427179867,False,0.10690147468147801,2020-03-09,0
no,-0.5587394092686856,-0.004631015302497765,-0.2816852122855917,True,0.13852709849154696,2020-03-04,0
sr,-1.5815601503301333,-0.1528532574922642,-0.8672067039111988,True,0.3571767232094673,2020-03-09,0
sv,-0.551010196494031,-0.07728127716609653,-0.3141457368300638,True,0.11843222983198363,2020-03-04,0
da,-0.4339541430904944,0.16533611309812912,-0.13430901499618264,False,0.14982256404715588,2020-03-05,1
de,-0.2930935438815485,0.0837079884378509,-0.10469277772184882,False,0.09420038307984986,2020-03-10,1
en,-0.18428705149784652,0.058929576957711394,-0.06267873727006756,False,0.06080415711388948,2020-03-10,1
fi,-0.40668111731668394,0.17396308022146317,-0.1163590185476104,False,0.14516104938453678,2020-03-10,1
fr,-0.3443416285769714,0.036173013125585685,-0.15408430772569287,False,0.09512866042563928,2020-03-10,1
it,-0.39205522502653184,-0.08831995291101213,-0.240187588968772,True,0.07593381802887993,2020-03-05,1
ja,-0.21413664767768598,-0.0027057700899041914,-0.10842120888379508,True,0.052857719396945446,2020-03-25,1
ko,-0.22374618085575948,0.2162304224450487,-0.003757879205355391,False,0.10999415082520204,2020-02-19,1
nl,-0.25870415861567403,0.16550081136142908,-0.04660167362712249,False,0.10605124249427578,2020-03-10,1
no,-0.513914792039266,0.06150775656292831,-0.22620351773816885,False,0.14385563715054858,2020-03-05,1
sr,-1.6043134307660858,-0.19322886264700823,-0.898771146706547,True,0.3527711420297694,2020-03-10,1
sv,-0.5186389363978559,-0.04440276918211647,-0.2815208527899862,True,0.11855904180393485,2020-03-05,1
da,-0.5452415771550373,0.07187005848094252,-0.23668575933704739,False,0.15427790890899495,2020-03-06,2
de,-0.33173063628636057,0.00593741096784986,-0.16289661265925537,False,0.08441701181355261,2020-03-11,2
en,-0.2117094370203459,0.015528121529643932,-0.09809065774535097,False,0.05680938963749745,2020-03-11,2
fi,-0.41815359723186096,0.11098047915683662,-0.15358655903751217,False,0.1322835190971744,2020-03-11,2
fr,-0.38520442179617154,-0.035602508327306354,-0.21040346506173893,True,0.08740047836721629,2020-03-11,2
it,-0.3711118300483768,-0.10990130105601648,-0.24050656555219663,True,0.06530263224809008,2020-03-06,2
ja,-0.19889694808086322,0.013058849237387163,-0.09291904942173804,False,0.0529889493295626,2020-03-26,2
ko,-0.22117406418802155,0.22735132849014011,0.003088632151059284,False,0.11213134816954042,2020-02-20,2
nl,-0.29530988986821727,0.12946821736133438,-0.08292083625344146,False,0.10619452680738792,2020-03-11,2
no,-0.527756573642606,0.03052648472854705,-0.24861504445702945,False,0.13957076459278825,2020-03-06,2
sr,-1.7189366356840416,-0.4350481721225815,-1.0769924039033116,True,0.32097211589036506,2020-03-11,2
sv,-0.5171854700508988,-0.025556302457846375,-0.27137088625437256,True,0.12290729189826309,2020-03-06,2
da,-0.5155967102785844,0.10221917953867199,-0.20668876536995623,False,0.1544539724543141,2020-03-07,3
de,-0.3443612209989413,-0.03445712764325917,-0.18940917432110022,True,0.07747602333892052,2020-03-12,3
en,-0.23244747417636424,-0.028486515224217177,-0.13046699470029072,True,0.05099023973803677,2020-03-12,3
fi,-0.45242565109256255,0.05751344883369164,-0.19745610112943546,False,0.12748477498156355,2020-03-12,3
fr,-0.39159520856794694,-0.10143065682436156,-0.24651293269615426,True,0.07254113793589635,2020-03-12,3
it,-0.34082061117784856,-0.09010570046759647,-0.21546315582272252,True,0.06267872767756302,2020-03-07,3
ja,-0.1549613083448412,0.026344837814644,-0.0643082352650986,False,0.0453265365398713,2020-03-27,3
ko,-0.2911902672900737,0.15758005060287322,-0.06680510834360023,False,0.11219257947323673,2020-02-21,3
nl,-0.2890933321313851,0.041808822036160306,-0.1236422550476124,False,0.08272553854188636,2020-03-12,3
