lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.07066265482356429,0.14553634180501743,0.03743684349072656,False,0.05404974915714543,2020-03-11,0
de,0.2884844506508926,0.6187530419683818,0.45361874630963717,True,0.08256714782937227,2020-03-16,0
en,-0.07142841211803058,0.07328834106771256,0.0009299644748409983,False,0.03617918829643579,2020-03-16,0
fi,-0.03178844631335298,0.2819494301706811,0.12508049192866405,False,0.07843446912100852,2020-03-16,0
fr,-0.030299313238616565,0.20218068076032303,0.08594068376085323,False,0.0581199984997349,2020-03-16,0
it,-0.06479771624701963,0.07445617271001373,0.0048292282314970555,False,0.03481347223925834,2020-03-11,0
ja,-0.2187952968678592,0.14916846531366246,-0.03481341577709838,False,0.09199094054538041,2020-03-31,0
ko,-0.1169266355617926,0.1335077034778363,0.008290533958021859,False,0.06260858475990723,2020-02-25,0
nl,-0.028915038440893753,0.08286557712265306,0.026975269340879657,False,0.027945153890886705,2020-03-16,0
no,-0.09629423050342673,0.3042753440070992,0.10399055675183624,False,0.10014239362763148,2020-03-11,0
sr,-0.2906429583235277,0.19156524856381313,-0.049538854879857284,False,0.12055205172183521,2020-03-16,0
sv,-0.0030924247509318743,0.002853145557999695,-0.00011963959646608957,False,0.0014863925772328924,2020-03-11,0
da,-0.018827517829413998,0.20417088018379465,0.09267168117719032,False,0.05574959950330216,2020-03-12,1
de,0.15509476218726287,0.6108633450074215,0.3829790535973422,True,0.11394214570503966,2020-03-17,1
en,-0.04842568806086826,0.09284980265640679,0.02221205729776926,False,0.03531887267931876,2020-03-17,1
fi,-0.03678226227179651,0.322905536175901,0.14306163695205226,False,0.08992194961192439,2020-03-17,1
fr,0.0052293284713831045,0.2364374748514106,0.12083340166139685,True,0.05780203659500687,2020-03-17,1
it,-0.05369622708697312,0.08559055996156677,0.015947166437296822,False,0.03482169676213497,2020-03-12,1
ja,-0.17813944947143917,0.16279919804719878,-0.007670125712120196,False,0.08523466187965949,2020-04-01,1
ko,-0.07699455746518163,0.1821645620241194,0.05258500227946888,False,0.06478977987232526,2020-02-26,1
nl,-0.040958878022290035,0.07934269569146737,0.01919190883458867,False,0.030075393428439352,2020-03-17,1
no,-0.019049125092547692,0.4025716179628205,0.1917612464351364,False,0.10540518576384204,2020-03-12,1
sr,-0.30925921863360156,0.2080976082802462,-0.05058080517667768,False,0.12933920672846194,2020-03-17,1
sv,-0.003308404445439223,0.002418846584296497,-0.00044477893057136286,False,0.00143181275743393,2020-03-12,1
da,0.011578445814710972,0.24028853665402072,0.12593349123436584,True,0.057177522709827434,2020-03-13,2
de,0.1591641842663873,0.6239260945573475,0.3915451394118674,True,0.11619047757274006,2020-03-18,2
en,-0.04950921069957677,0.08210566766048992,0.016298228480456575,False,0.03290371959001667,2020-03-18,2
fi,-0.02991931799165176,0.33958344964572684,0.15483206582703754,False,0.09237569190934465,2020-03-18,2
fr,0.07253198601964468,0.2708725794597441,0.17170228273969437,True,0.049585148360024846,2020-03-18,2
it,-0.059086058129523875,0.07769911613184861,0.00930652900116237,False,0.03419629356534312,2020-03-13,2
ja,-0.15614397836911786,0.19201886139422153,0.017937441512551833,False,0.08704070994083485,2020-04-02,2
ko,-0.039417190264550483,0.2136469618649945,0.087114885800222,False,0.06326603803238624,2020-02-27,2
nl,-0.03327835927722805,0.08094088712960221,0.023831263926187077,False,0.028554811601707565,2020-03-18,2
no,0.004457095529261823,0.4180699670930506,0.21126353131115622,True,0.1034032178909472,2020-03-13,2
sr,-0.33159719643838204,0.22060179587814874,-0.05549770028011666,False,0.1380497480791327,2020-03-18,2
