lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.07378799887359166,0.1423343781776659,0.03427318965203712,False,0.05403059426281439,2020-03-11,0
de,-0.042895482640456006,0.2851247485644164,0.12111463296198019,False,0.0820050578012181,2020-03-16,0
en,-0.09104972158073818,0.05668393994387639,-0.017182890818430892,False,0.03693341538115364,2020-03-16,0
fi,-0.03863815289293854,0.2721290252389483,0.11674543617300487,False,0.0776917945329717,2020-03-16,0
fr,-0.035843952226585665,0.19493711707438066,0.0795465824238975,False,0.057695267325241585,2020-03-16,0
it,-0.06487251483873364,0.07276572794377063,0.003946606552518491,False,0.03440956069562607,2020-03-11,0
ja,-0.21833914761285692,0.17051332628398339,-0.023912910664436772,False,0.09721311847421008,2020-03-31,0
ko,-0.11673197123830405,0.13365804130412084,0.008463035032908392,False,0.06259750313560622,2020-02-25,0
nl,-0.030406216705691356,0.08137164970622855,0.025482716500268596,False,0.027944466602979976,2020-03-16,0
no,-0.10731736911549497,0.29827685081032473,0.09547974084741487,False,0.10139855498145492,2020-03-11,0
sr,-0.2903598706279101,0.19184721438288987,-0.049256328122510094,False,0.12055177125269999,2020-03-16,0
sv,-0.0031793980442083487,0.0027068096159764306,-0.00023629421411595908,False,0.0014715519150461948,2020-03-11,0
da,-0.022021919163207546,0.20052919396771657,0.0892536374022545,False,0.055637778282731025,2020-03-12,1
de,-0.10267515956961627,0.25675205637717613,0.07703844840377992,False,0.0898568039866981,2020-03-17,1
en,-0.06587249475074991,0.07728320198380872,0.005705353616529407,False,0.03578892418363966,2020-03-17,1
fi,-0.04171453079602472,0.31702831089732963,0.13765689005065246,False,0.08968571042333859,2020-03-17,1
fr,0.002447399078356491,0.2287578020150004,0.11560260054667844,True,0.056577600734160974,2020-03-17,1
it,-0.054108105309315216,0.0836954552254401,0.014793674958062442,False,0.03445089013368883,2020-03-12,1
ja,-0.16706152917515368,0.18651414955960247,0.009726310192224391,False,0.08839391968368904,2020-04-01,1
ko,-0.07695087641793802,0.18216918727872194,0.052609155430391956,False,0.06478001592416499,2020-02-26,1
nl,-0.04362575228297638,0.07732236499132847,0.016848306354176043,False,0.030237029318576213,2020-03-17,1
no,-0.03060259569696666,0.3975620575654715,0.18347973093425243,False,0.10704116331560955,2020-03-12,1
sr,-0.30899612251506114,0.20835537938005522,-0.050320371567502964,False,0.1293378754737791,2020-03-17,1
sv,-0.0033727713677856415,0.002314106045021895,-0.0005293326613818733,False,0.001421719353201884,2020-03-12,1
da,0.009127545822814373,0.2374625697060212,0.12329505776441778,True,0.0570837559708017,2020-03-13,2
de,-0.026168087218936292,0.3102473555754437,0.1420396341782537,False,0.08410386069859499,2020-03-18,2
en,-0.06681852706593486,0.06661220010032146,-0.00010316348280670073,False,0.03335768179156408,2020-03-18,2
fi,-0.03335172342199558,0.33528776452397757,0.15096802055099098,False,0.09215987198649328,2020-03-18,2
fr,0.05972389896028377,0.25754483660007377,0.15863436778017875,True,0.04945523440994749,2020-03-18,2
it,-0.05892391680995414,0.07732401718877542,0.009200050189410641,False,0.03406198349968239,2020-03-13,2
ja,-0.14291299059539747,0.21658888461764342,0.03683794701112299,False,0.08987546880326022,2020-04-02,2
ko,-0.03912557871640207,0.21397444515919065,0.08742443322139429,False,0.06327500596889818,2020-02-27,2
nl,-0.03591770160479113,0.07895855744616798,0.021520427920688423,False,0.028719064762739777,2020-03-18,2
no,-0.0011088285979284629,0.41512187660667377,0.20700652400437264,False,0.10405767630115055,2020-03-13,2
sr,-0.3313196724245818,0.22087179368736587,-0.05522393936860799,False,0.13804786652798692,2020-03-18,2
sv,-0.0026973857207517227,0.002734742446312156,1.867836278021673e-05,False,0.0013580320417659697,2020-03-13,2
da,0.0430863898367078,0.2864052380975419,0.16474581396712487,True,0.060829712065208534,2020-03-14,3
de,-0.069057436884739,0.2724081497522216,0.10167535643374132,False,0.08536639665924016,2020-03-19,3
en,-0.05378713303226727,0.07414451291621614,0.010178689941974434,False,0.03198291148712085,2020-03-19,3
fi,-0.07003793523564271,0.31173657235810026,0.12084931856122878,False,0.09544362689843575,2020-03-19,3
fr,0.09979562196324832,0.3209349260310344,0.21036527399714136,True,0.05528482601694652,2020-03-19,3
it,-0.04933135773671993,0.10186751294561208,0.026268077604446077,False,0.037799717670583,2020-03-14,3
ja,-0.13683415103333516,0.22164563201093776,0.0424057404888013,False,0.08961994576106823,2020-04-03,3
ko,-0.05443797936581117,0.1959007829622772,0.07073140179823302,False,0.0625846905820221,2020-02-28,3
nl,-0.030647672831307746,0.08125677267601066,0.025304549922351455,False,0.0279761113768296,2020-03-19,3
no,0.04987065687565426,0.4696108186644645,0.2597407377700594,True,0.10493504044720257,2020-03-14,3
sr,-0.32304914359527126,0.22848404324715507,-0.04728255017405811,False,0.1378832967106066,2020-03-19,3
sv,-0.00395423393808256,0.0016016955926953817,-0.0011762691726935892,False,0.0013889823826944855,2020-03-14,3
da,0.08497369118641455,0.33252960972785567,0.20875165045713512,True,0.06188897963536028,2020-03-15,4
de,-0.11229879563288633,0.259533908010693,0.07361755618890331,False,0.09295817591089482,2020-03-20,4
en,-0.04359840081472261,0.07985710137315699,0.018129350279217193,False,0.030863875546969902,2020-03-20,4
fi,-0.038510745917061884,0.35459174481883665,0.15804049945088738,False,0.09827562268397463,2020-03-20,4
fr,0.1381453505297811,0.33638352330384896,0.23726443691681504,True,0.04955954319351697,2020-03-20,4
it,-0.04995389340887613,0.10254074039888195,0.02629342349500291,False,0.03812365845193952,2020-03-15,4
ja,-0.1387947694956734,0.15013788666334602,0.005671558583836306,False,0.07223316403975485,2020-04-04,4
ko,-0.03354604764433938,0.21108819280799515,0.08877107258182788,False,0.06115856011308363,2020-02-29,4
nl,-0.03274744479908317,0.08183993564873251,0.02454624542482467,False,0.02864684511195392,2020-03-20,4
no,0.11185674600776715,0.5350522933511399,0.32345451967945354,True,0.1057988868358432,2020-03-15,4
sr,-0.2974703548334027,0.24898133261330713,-0.024244511110047773,False,0.13661292186167745,2020-03-20,4
sv,-0.003872793950189488,0.0017878395042079864,-0.0010424772229907509,False,0.0014151583635993686,2020-03-15,4
da,0.11118347244139175,0.33616989488699117,0.22367668366419147,True,0.05624660561139986,2020-03-16,5
de,-0.1013152657116993,0.2688255717923253,0.083755153040313,False,0.09253520937600615,2020-03-21,5
en,-0.04173322623254164,0.08394390928937526,0.02110534152841681,False,0.031419283880479223,2020-03-21,5
fi,-0.03399213388376082,0.3728894991656018,0.1694486826409205,False,0.10172040826234066,2020-03-21,5
fr,0.1543487977212669,0.35660600099652573,0.2554773993588963,True,0.0505643008188147,2020-03-21,5
it,-0.03830995685961991,0.12246637092088042,0.042078207030630255,False,0.04019408194512508,2020-03-16,5
ja,-0.13418482106567547,0.1446857362436509,0.005250457588987706,False,0.06971763932733159,2020-04-05,5
ko,-0.020809158745659223,0.20315151699252806,0.09117117912343442,False,0.05599016893454682,2020-03-01,5
nl,-0.04106326790993247,0.05575377295924721,0.00734525252465737,False,0.02420426021729492,2020-03-21,5
no,0.14334082286919822,0.5648464381985419,0.35409363053387005,True,0.10537640383233592,2020-03-16,5
sr,-0.2404401950174202,0.29719255146369816,0.02837617822313898,False,0.1344081866202796,2020-03-21,5
sv,-0.00440053414363262,0.0008081432471814835,-0.0017961954482255682,False,0.0013021693477035259,2020-03-16,5
da,0.1162593166625593,0.34458549863866306,0.23042240765061117,True,0.057081545494025936,2020-03-17,6
de,-0.1173812118583876,0.23646829641433378,0.059543542277973094,False,0.08846237706818035,2020-03-22,6
en,-0.0014896655686653312,0.10008344832466995,0.049296891378002305,False,0.02539327847333382,2020-03-22,6
fi,-0.0026988452237114158,0.39214244503923534,0.19472179990776195,False,0.09871032256573668,2020-03-22,6
fr,0.16408493052702214,0.351123029243558,0.25760397988529005,True,0.046759524679133954,2020-03-22,6
