lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.3302658780233942,0.26902375293222264,-0.030621062545585772,False,0.1498224077389042,2020-03-11,0
de,-0.1622793850927641,0.11512869974295295,-0.023575342674905582,False,0.06935202120892926,2020-03-16,0
en,-0.17636664934099983,-0.018163453448910974,-0.0972650513949554,True,0.039550798973022216,2020-03-16,0
fi,-0.4585296400110027,0.10958398033110694,-0.17447282983994788,False,0.14202840508552741,2020-03-16,0
fr,-0.2210192448151469,-0.011565913144991433,-0.11629257898006916,True,0.05236333291753886,2020-03-16,0
it,-0.20592751862353553,0.06099116932064097,-0.07246817465144728,False,0.06672967198604413,2020-03-11,0
ja,-0.2747709359903869,0.1128243222440426,-0.08097330687317214,False,0.09689881455860737,2020-03-31,0
ko,-0.17981245777277885,0.373809944987494,0.09699874360735758,False,0.13840560069006821,2020-02-25,0
nl,-0.44001533125072523,-0.018411227125539747,-0.22921327918813247,True,0.10540102603129636,2020-03-16,0
no,-0.6518036948685443,0.16295026232619136,-0.24442671627117646,False,0.2036884892986839,2020-03-11,0
sr,-0.7346754064445088,1.192881934221218,0.22910326388835456,False,0.4818893351664317,2020-03-16,0
sv,-0.14105079135247373,0.22166986152114154,0.040309535084333895,False,0.09068016321840382,2020-03-11,0
da,-0.2700050733477528,0.2800806083745395,0.005037767513393332,False,0.13752142043057308,2020-03-12,1
de,-0.16555350076142097,0.10561763294008894,-0.029967933910666024,False,0.06779278342537748,2020-03-17,1
en,-0.17886979420106178,-0.02725186033453192,-0.10306082726779685,True,0.037904483466632465,2020-03-17,1
fi,-0.49186238825717277,-0.012772605494056705,-0.2523174968756147,True,0.11977244569077901,2020-03-17,1
fr,-0.211772628522366,0.008575845438730106,-0.10159839154181795,False,0.05508711849027403,2020-03-17,1
it,-0.2455483615114436,-0.007730172251822723,-0.12663926688163316,True,0.059454547314905216,2020-03-12,1
ja,-0.27305299342650885,0.14529180797136038,-0.06388059272757425,False,0.1045862003494673,2020-04-01,1
ko,-0.21059526188369668,0.2892572060183304,0.039330972067316845,False,0.12496311697550676,2020-02-26,1
nl,-0.43037131998980827,0.0267997773292645,-0.20178577133027187,False,0.11429277432976818,2020-03-17,1
no,-0.6746858252340322,0.11834908327760951,-0.27816837097821134,False,0.19825872712791043,2020-03-12,1
sr,-0.849164493224198,0.6737801104980972,-0.08769219136305036,False,0.3807361509305738,2020-03-17,1
sv,-0.1639867058682209,0.16955165143308598,0.0027824727824325443,False,0.08338458932532672,2020-03-12,1
da,-0.3053089968545411,0.28057014514562356,-0.012369425854458748,False,0.14646978550004117,2020-03-13,2
de,-0.17140043220105247,0.12248474959500008,-0.024457841303026192,False,0.07347129544901314,2020-03-18,2
en,-0.18348184330104073,-0.03569865755757838,-0.10959025042930956,True,0.03694579643586559,2020-03-18,2
fi,-0.4922006880680825,0.0051262018396358855,-0.24353724311422328,False,0.12433172247692958,2020-03-18,2
fr,-0.202263034430384,0.03545891394636552,-0.08340206024200923,False,0.05943048709418738,2020-03-18,2
it,-0.25094438270902486,-0.023932356552265416,-0.13743836963064512,True,0.056753006539189854,2020-03-13,2
ja,-0.2765739377385274,0.13954387564520998,-0.06851503104665871,False,0.10402945334593434,2020-04-02,2
ko,-0.21390786885071486,0.29239019032554964,0.03924116073741738,False,0.12657451479406612,2020-02-27,2
nl,-0.3953335746612665,0.09788601359289911,-0.1487237805341837,False,0.1233048970635414,2020-03-18,2
no,-0.6795737625712797,0.11158622321787043,-0.2839937696767046,False,0.1977899964472875,2020-03-13,2
sr,-0.9995181579847934,0.17125373375692193,-0.41413221211393575,False,0.29269297293542884,2020-03-18,2
sv,-0.1331395819580283,0.19253210066694706,0.02969625935445938,False,0.08141792065624384,2020-03-13,2
da,-0.37411931759452,0.25828816406763144,-0.057915576763444304,False,0.15810187041553786,2020-03-14,3
de,-0.12298245154725962,0.1749951072093529,0.026006327831046644,False,0.07449438968915313,2020-03-19,3
en,-0.18551346223284032,-0.03978128576154148,-0.11264737399719091,True,0.03643304411782471,2020-03-19,3
fi,-0.4409543177264658,0.07042438705430104,-0.1852649653360824,False,0.12784467619519171,2020-03-19,3
fr,-0.17107078919873583,0.05786940208223198,-0.05660069355825193,False,0.057235047820241955,2020-03-19,3
it,-0.24508247150343304,-0.006116150385444705,-0.12559931094443888,True,0.05974158027949709,2020-03-14,3
ja,-0.35115425944370954,0.05744357743583395,-0.1468553410039378,False,0.10214945921988587,2020-04-03,3
ko,-0.11720137333673583,0.41876177506946244,0.15078020086636332,False,0.13399078710154957,2020-02-28,3
nl,-0.3709236253136005,0.1408956501362994,-0.11501398758865056,False,0.12795481886247498,2020-03-19,3
no,-0.6571285936618514,0.15762015490356776,-0.2497542193791418,False,0.20368718714135478,2020-03-14,3
sr,-0.9285745594388142,-0.02217464021241833,-0.47537459982561625,True,0.22659997980659896,2020-03-19,3
sv,-0.1797907699122548,0.16947976228216288,-0.00515550381504596,False,0.08731763304860442,2020-03-14,3
da,-0.541193312206201,0.19196163133357982,-0.1746158404363106,False,0.1832887358849452,2020-03-15,4
de,-0.12169770602610083,0.18364701177511963,0.0309746528745094,False,0.07633617945030512,2020-03-20,4
en,-0.16624745405751792,-0.033851115453529895,-0.10004928475552391,True,0.03309908465099701,2020-03-20,4
fi,-0.45788240838474314,0.017560466749384857,-0.22016097081767913,False,0.118860718783532,2020-03-20,4
fr,-0.19210199690500146,0.03681004393513236,-0.07764597648493456,False,0.05722801021003346,2020-03-20,4
it,-0.21887195764064876,0.014069876011772495,-0.10240104081443813,False,0.05823545841310531,2020-03-15,4
ja,-0.32392328528114955,0.1362337037459332,-0.09384479076760817,False,0.11503924725677069,2020-04-04,4
ko,-0.0855387220997855,0.44586088033272653,0.18016107911647053,False,0.132849900608128,2020-02-29,4
nl,-0.3070446610760328,0.21966200259805438,-0.04369132923898919,False,0.13167666591852178,2020-03-20,4
no,-0.7959415651237667,0.12034551898029716,-0.3377980230717348,False,0.22907177102601597,2020-03-15,4
sr,-1.0431295336093924,-0.21364281722458506,-0.6283861754169887,True,0.20737167909620183,2020-03-20,4
sv,-0.1939137184076854,0.17428875661676174,-0.009812480895461828,False,0.09205061875611179,2020-03-15,4
da,-0.5510198938629863,0.16040523676821614,-0.1953073285473851,False,0.17785628265780062,2020-03-16,5
de,-0.06499139918752267,0.2232241472667733,0.07911637403962532,False,0.072053886613574,2020-03-21,5
en,-0.1645126449807181,-0.030554516976593962,-0.09753358097865603,True,0.03348953200103103,2020-03-21,5
fi,-0.41788879715198546,0.03936843056080416,-0.18926018329559066,False,0.11431430692819741,2020-03-21,5
fr,-0.1798079141197686,0.04829214144468008,-0.06575788633754426,False,0.05702501389111217,2020-03-21,5
it,-0.24262698669686117,-0.023051069669118407,-0.1328390281829898,True,0.05489397925693569,2020-03-16,5
ja,-0.21324303895246813,0.23803653629237118,0.012396748669951524,False,0.11281989381120983,2020-04-05,5
ko,-0.0021527886044141464,0.48370800332774516,0.2407776073616655,False,0.12146519798303983,2020-03-01,5
nl,-0.27825439577766464,0.25429121819801603,-0.011981588789824332,False,0.13313640349392017,2020-03-21,5
no,-0.8152458964981468,0.0999693951828553,-0.35763825065764576,False,0.22880382292025053,2020-03-16,5
sr,-1.100560219213653,-0.29409357237068906,-0.697326895792171,True,0.20161666171074097,2020-03-21,5
sv,-0.21131850295657204,0.14826317034186007,-0.031527666307355984,False,0.08989541832460803,2020-03-16,5
da,-0.49600329262888204,0.25234722264781634,-0.12182803499053284,False,0.1870876288191746,2020-03-17,6
de,-0.07882800832861635,0.2328955101864703,0.07703375092892699,False,0.07793087962877167,2020-03-22,6
en,-0.1800943049790615,-0.04527462125931525,-0.11268446311918838,True,0.033704920929936565,2020-03-22,6
fi,-0.4828207108158643,0.012611062860694383,-0.23510482397758498,False,0.12385794341913968,2020-03-22,6
