lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.604493328154128,0.13350473200279067,-0.23549429807566868,False,0.18449951503922968,2020-03-18,0
de,-0.052345691545591266,0.2550022858681051,0.10132829716125691,False,0.07683699435342409,2020-03-23,0
en,-0.1737403141053789,-0.014994859376572328,-0.09436758674097562,True,0.039686363682201645,2020-03-23,0
fi,-0.3646348025220796,0.17665337499483036,-0.09399071376362461,False,0.13532204437922749,2020-03-23,0
fr,-0.2324833038696433,0.05289534135523752,-0.08979398125720289,False,0.0713446613062202,2020-03-23,0
it,-0.14197816326493973,0.13459164641542576,-0.0036932584247569844,False,0.06914245242009137,2020-03-18,0
ja,-0.13511093206718916,0.2799817222994292,0.07243539511612002,False,0.10377316359165459,2020-04-07,0
ko,-0.09388458078522174,0.34122294316080504,0.12366918118779163,False,0.10877688098650669,2020-03-03,0
nl,-0.09330217464070262,0.4025869858724897,0.15464240561589354,False,0.12397229012829808,2020-03-23,0
no,-0.6573725114650502,0.3323270128865959,-0.1625227492892271,False,0.2474248810879115,2020-03-18,0
sr,-1.0981737643595975,-0.24178560352437722,-0.6699796839419874,True,0.21409704020880507,2020-03-23,0
sv,-0.21374202784643218,0.11203376347066765,-0.05085413218788226,False,0.08144394782927496,2020-03-18,0
da,-0.5314807058371097,0.24274826676774638,-0.14436621953468168,False,0.19355724315121403,2020-03-19,1
de,-0.07657909848690378,0.23762777618439404,0.08052433884874513,False,0.07855171866782446,2020-03-24,1
en,-0.1702697961546089,-0.009008040192590092,-0.08963891817359951,True,0.04031543899050471,2020-03-24,1
fi,-0.33018567376472596,0.32123526772536704,-0.004475203019679491,False,0.16285523537252325,2020-03-24,1
fr,-0.23227944260443228,0.053585698268646675,-0.0893468721678928,False,0.07146628521826974,2020-03-24,1
it,-0.09901801956333492,0.15921461528499123,0.030098297860828155,False,0.06455815871208154,2020-03-19,1
ja,-0.18829556142761003,0.2152122837790277,0.013458361175708838,False,0.10087696130165943,2020-04-08,1
ko,-0.028457891539010072,0.4421915172287858,0.20686681284488787,False,0.11766235219194897,2020-03-04,1
nl,-0.04498026437085054,0.4652066975275605,0.210113216578355,False,0.12754674047460277,2020-03-24,1
