lang,CI_lower,CI_upper,delta_m,significant,std.err.,window,day
da,-0.30032680887488644,0.38137673405513733,0.040524962590125446,False,0.17042588573250594,2020-03-04,0
de,-0.14691536698729074,0.19445034524513055,0.02376748912891991,False,0.08534142805810532,2020-03-09,0
en,-0.1047224068511645,0.07808997160199337,-0.013316217624585569,False,0.04570309461328947,2020-03-09,0
fi,-0.3707238420065805,0.1897596569735146,-0.09048209251653294,False,0.14012087474502377,2020-03-09,0
fr,-0.04810010920667854,0.18401541816490172,0.06795765447911159,False,0.058028881842895064,2020-03-09,0
it,-0.25233199695760955,-0.04971413728436573,-0.15102306712098765,True,0.05065446491831096,2020-03-04,0
ja,-0.23084671092198705,0.1517585438276408,-0.039544083547173106,False,0.09565131368740697,2020-03-24,0
ko,0.11371125103281698,0.5345556351626334,0.3241334430977252,True,0.1052110960324541,2020-02-18,0
nl,-0.055419042580747924,0.5682090171182546,0.2563949872687533,False,0.15590701492475062,2020-03-09,0
no,-0.5953152167681187,0.2703499613878526,-0.16248262769013305,False,0.21641629453899283,2020-03-04,0
sr,-0.9116442640454918,0.45773758363356615,-0.22695334020596286,False,0.3423454619197645,2020-03-09,0
sv,-0.09063583757981748,0.21968630970191255,0.06452523606104753,False,0.0775805368204325,2020-03-04,0
da,-0.3772667443064872,0.3031463534551546,-0.03706019542566629,False,0.17010327444041046,2020-03-05,1
de,-0.1607111096090585,0.1839622230863464,0.01162555673864396,False,0.08616833317385122,2020-03-10,1
en,-0.12062764172272775,0.06904544720717373,-0.025791097257777,False,0.04741827223247537,2020-03-10,1
fi,-0.34245148216826915,0.2613335016102787,-0.04055899027899525,False,0.15094624594463696,2020-03-10,1
fr,-0.08138406001231321,0.13770726806316802,0.02816160402542741,False,0.05477283201887031,2020-03-10,1
it,-0.23499793823825438,-0.004543062323459898,-0.11977050028085715,True,0.05761371897869862,2020-03-05,1
ja,-0.24640859767283563,0.12057066967517611,-0.06291896399882975,False,0.09174481683700293,2020-03-25,1
ko,0.24678840945273742,0.6441529814212769,0.4454706954370071,True,0.09934114299213485,2020-02-19,1
nl,-0.10350131840609791,0.5286786153270067,0.21258864846045436,False,0.15804498343327614,2020-03-10,1
no,-0.5722671690531279,0.30345404699907363,-0.13440656102702717,False,0.2189303040130504,2020-03-05,1
sr,-0.8291992985487674,0.992733029246809,0.08176686534902078,False,0.4554830819488941,2020-03-10,1
sv,-0.08157463385000197,0.2755170668007671,0.09697121647538257,False,0.08927292516269227,2020-03-05,1
da,-0.39062865515037815,0.3258693648847294,-0.032379645132824354,False,0.17912450500877689,2020-03-06,2
de,-0.14794758864790628,0.1777153627855231,0.014883887068808409,False,0.08141573785835735,2020-03-11,2
en,-0.13193575062015256,0.05120059028975238,-0.04036758016520009,False,0.045784085227476234,2020-03-11,2
fi,-0.4093512888492251,0.17858006681098862,-0.11538561101911823,False,0.14698283891505343,2020-03-11,2
fr,-0.10949306036093309,0.1173584799018989,0.003932709770482906,False,0.056712885065708,2020-03-11,2
it,-0.23829789920975028,-0.009004117670351447,-0.12365100844005086,True,0.05732344538484971,2020-03-06,2
ja,-0.2037295861249302,0.15091628203118024,-0.02640665204687497,False,0.08866146703902761,2020-03-26,2
ko,0.19953522532889,0.6156457715481805,0.40759049843853523,True,0.10402763655482261,2020-02-20,2
nl,-0.1660255194347293,0.4495730427951137,0.1417737616801922,False,0.15389964055746075,2020-03-11,2
no,-0.5414298825547055,0.34828882308859876,-0.09657052973305336,False,0.22242967641082606,2020-03-06,2
sr,-0.7449585495654971,1.2940035473620037,0.27452249889825325,False,0.5097405242318752,2020-03-11,2
sv,-0.10162207173174256,0.26482466642562574,0.0816012973469416,False,0.09161168453934208,2020-03-06,2
da,-0.3692423099269209,0.4004004891439998,0.015579089608539449,False,0.19241069976773018,2020-03-07,3
de,-0.1638598514478989,0.1504170299365102,-0.006721410755694355,False,0.07856922034610228,2020-03-12,3
en,-0.1368630046350755,0.03752832039732425,-0.04966734211887562,False,0.043597831258099934,2020-03-12,3
fi,-0.4364437789344048,0.16155347991671953,-0.13744514950884262,False,0.14949931471278108,2020-03-12,3
fr,-0.15580769676088005,0.05367197426492362,-0.05106786124797821,False,0.05236991775645092,2020-03-12,3
it,-0.2437471304543125,-0.014136505712707678,-0.1289418180835101,True,0.05740265618540121,2020-03-07,3
ja,-0.19498459698590936,0.15747984894032968,-0.018752374022789838,False,0.08811611148155976,2020-03-27,3
ko,0.1311540245626957,0.5890018699391435,0.36007794725091957,True,0.11446196134411193,2020-02-21,3
nl,-0.20906224117533317,0.32657083305122486,0.05875429593794586,False,0.1339082685566395,2020-03-12,3
no,-0.5830870880330232,0.32103204718060635,-0.13102752042620847,False,0.2260297838034074,2020-03-07,3
sr,-0.6533203171211367,1.4397622684892015,0.39322097568403247,False,0.5232706464025846,2020-03-12,3
sv,-0.13529833798515956,0.21638098973586917,0.040541325875354806,False,0.08791983193025718,2020-03-07,3
da,-0.27600572782391103,0.4748612110286227,0.09942774160235583,False,0.18771673471313344,2020-03-08,4
de,-0.14491416932067663,0.13117876421074393,-0.00686770255496634,False,0.06902323338285514,2020-03-13,4
en,-0.1691411501947292,-0.013704975310130402,-0.0914230627524298,True,0.0388590437211497,2020-03-13,4
fi,-0.4475947589538236,0.19339816758275907,-0.12709829568553227,False,0.16024823163414567,2020-03-13,4
fr,-0.17972862987428007,0.022019230522717384,-0.07885469967578133,False,0.05043696509924936,2020-03-13,4
it,-0.26131216630640064,-0.023325116332850712,-0.14231864131962568,True,0.059496762493387485,2020-03-08,4
ja,-0.22111869027496306,0.13751060613701904,-0.04180404206897202,False,0.08965732410299553,2020-03-28,4
ko,0.10007519595936504,0.5935949960661686,0.3468350960127668,True,0.12337995002670088,2020-02-22,4
nl,-0.2831366823828019,0.2132539623848581,-0.03494135999897187,False,0.124097661191915,2020-03-13,4
no,-0.6458688755274009,0.3241932261871913,-0.16083782467010477,False,0.24251552542864804,2020-03-08,4
sr,-0.6600463027394617,1.4613540415990585,0.4006538694297984,False,0.5303500860846301,2020-03-13,4
sv,-0.11895999237117333,0.2098663022502102,0.045453154939518424,False,0.08220657365534588,2020-03-08,4
